Date ;Reg time ;Region id ;Region ;Municipal ;Nick ;Competence ;EAWS problem ;Cause/ weaklayer ;Type ;Catch 1 ;Catch 2 ;Catch 3 ;Catch 4 ;Size ;Trigger
2014-11-28 ;2014-11-28 11:14 ;111 ;Lyngsalpan ;LYNGEN ;LyngenDavid@ObsKorps ;*** ;New snow ;Loose snow ;Loose dry avalanche ; ; ; ; ; ;
2014-11-28 ;2014-11-28 12:20 ;122 ;Sogn ;SOGNDAL ;martin@obskorps ;*** ; ;Buried weak layer of faceted snow beneath a crust ; ; ; ; ;The collapsing weak layer is thin < 3 cm. ;1 - Harmless (sluff) ;High additional load
2014-11-28 ;2014-11-28 12:20 ;122 ;Sogn ;SOGNDAL ;martin@obskorps ;*** ;Persistent weak layers ;Buried weak layer of faceted snow near surface ;Dry slab avalanche ; ; ; ;The collapsing weak layer is thin < 3 cm. ;2 - Small ;High additional load
2014-11-28 ;2014-11-29 12:24 ;123 ;Jotunheimen ;LOM ;Albert ;**** ;Wind-drifted snow ;Poor bonding between layers in wind deposited snow ;Dry slab avalanche ; ; ;The overlying slab is soft. ;The collapsing weak layer is thin < 3 cm. ;2 - Small ;Low additional load
2014-11-29 ;2014-11-29 11:45 ;118 ;Romsdal ;MOLDE ;solveig@NVE ;***** ;Wind-drifted snow ;Poor bonding between layers in wind deposited snow ;Dry slab avalanche ; ; ; ; ;1 - Harmless (sluff) ;High additional load
2014-11-29 ;2014-11-29 15:45 ;126 ;Hemsedalfjella ;HEMSEDAL ;Siggen@obskorps ;*** ;Wind-drifted snow ;Buried weak layer of new snow ;Dry slab avalanche ; ; ; ; ;1 - Harmless (sluff) ;High additional load
2014-11-30 ;2014-11-30 10:47 ;116 ;Lofoten ;VÅGAN ;JonasD@ObsKorps ;***** ;New snow ;Loose snow ;Loose dry avalanche ; ; ; ; ; ;
2014-11-30 ;2014-11-30 13:26 ;126 ;Hemsedalfjella ;HEMSEDAL ;Siggen@obskorps ;*** ;Wind-drifted snow ;Buried weak layer of new snow ;Dry slab avalanche ; ; ; ; ;1 - Harmless (sluff) ;High additional load
2014-11-30 ;2014-11-30 21:26 ;128 ;Rauland ;VINJE ;svein loftsgarden ;**** ;Wind-drifted snow ;Poor bonding between crust and overlying snow ;Dry slab avalanche ; ; ; ; ;1 - Harmless (sluff) ;High additional load
2014-12-02 ;2014-12-02 10:41 ;115 ;Vesterålen ;SORTLAND ;Steinar@ObsKorps ;**** ;New snow ;Loose snow ;Loose dry avalanche ; ; ; ; ; ;
2014-12-02 ;2014-12-02 11:12 ;122 ;Sogn ;SOGNDAL ;martin@obskorps ;*** ;Persistent weak layers ;Buried weak layer of faceted snow beneath a crust ;Dry slab avalanche ; ;The weak layer collapses easily and clean (easy propagation). ;The overlying slab is soft. ;The collapsing weak layer is thin < 3 cm. ;1 - Harmless (sluff) ;Low additional load
2014-12-02 ;2014-12-02 12:56 ;107 ;Kåfjord ;KÅFJORD ;jan arild@NVE ;*** ;Persistent weak layers ;Buried weak layer of faceted snow near surface ;Dry slab avalanche ;A big and identifiable crystal in the weak layer. ;The weak layer collapses easily and clean (easy propagation). ; ;The collapsing weak layer is thin < 3 cm. ;1 - Harmless (sluff) ;High additional load
2014-12-02 ;2014-12-02 14:54 ;126 ;Hemsedalfjella ;HEMSEDAL ;Jørgen@obskorps ;**** ;Persistent weak layers ;Buried weak layer of faceted snow near surface ;Dry slab avalanche ;A big and identifiable crystal in the weak layer. ; ; ;The collapsing weak layer is thin < 3 cm. ;2 - Small ;High additional load
2014-12-02 ;2014-12-02 17:24 ;126 ;Hemsedalfjella ;HEMSEDAL ;Siggen@obskorps ;*** ;Wind-drifted snow ;Buried weak layer of new snow ;Dry slab avalanche ; ; ; ; ;1 - Harmless (sluff) ;Low additional load
2014-12-02 ;2014-12-02 17:24 ;126 ;Hemsedalfjella ;HEMSEDAL ;Siggen@obskorps ;*** ;Persistent weak layers ;Buried weak layer of faceted snow above a crust ;Dry slab avalanche ; ; ; ; ;2 - Small ;High additional load
2014-12-03 ;2014-12-03 10:24 ;116 ;Lofoten ;VÅGAN ;JonasD@ObsKorps ;***** ;New snow ;Loose snow ;Loose dry avalanche ; ; ; ; ; ;
2014-12-03 ;2014-12-03 11:18 ;121 ;Fjordane ;JØLSTER ;brit-siv@obskorps ;*** ;Wind-drifted snow ;Poor bonding between layers in wind deposited snow ;Dry slab avalanche ; ; ;The overlying slab is soft. ; ;1 - Harmless (sluff) ;High additional load
2014-12-03 ;2014-12-03 13:11 ;124 ;Voss ;VIK ;Ragne@ObsKorps ;*** ;Wet snow ;Wet snow on the surface ; ; ;The weak layer collapses easily and clean (easy propagation). ; ; ;2 - Small ;Spontaneous release
2014-12-03 ;2014-12-03 13:11 ;124 ;Voss ;VIK ;Ragne@ObsKorps ;*** ;Wind-drifted snow ;Poor bonding between layers in wind deposited snow ;Dry slab avalanche ; ;The weak layer collapses easily and clean (easy propagation). ; ; ;2 - Small ;Low additional load
2014-12-03 ;2014-12-03 15:50 ;126 ;Hemsedalfjella ;HEMSEDAL ;Siggen@obskorps ;*** ;Wind-drifted snow ;Buried weak layer of new snow ;Dry slab avalanche ; ; ; ; ;1 - Harmless (sluff) ;Low additional load
2014-12-03 ;2014-12-03 15:50 ;126 ;Hemsedalfjella ;HEMSEDAL ;Siggen@obskorps ;*** ;Persistent weak layers ;Buried weak layer of faceted snow above a crust ;Dry slab avalanche ; ; ; ; ;2 - Small ;High additional load
2014-12-04 ;2014-12-04 09:28 ;106 ;Alta ;ALTA ;Bjørn M ;***** ;New snow ;Poor bonding between crust and overlying snow ;Dry slab avalanche ; ; ;The overlying slab is soft. ; ;2 - Small ;Low additional load
2014-12-04 ;2014-12-04 10:54 ;115 ;Vesterålen ;KVÆFJORD ;Steinar@ObsKorps ;**** ;Wind-drifted snow ;Poor bonding between layers in wind deposited snow ;Dry slab avalanche ; ; ; ; ; ;
2014-12-04 ;2014-12-04 11:01 ;121 ;Fjordane ;BALESTRAND ;Jan Helge@SVV ;*** ;Wet snow ;Wet snow/melting near the ground ;Loose wet avalanche ; ; ; ; ;1 - Harmless (sluff) ;Low additional load
2014-12-04 ;2014-12-04 11:01 ;121 ;Fjordane ;BALESTRAND ;Jan Helge@SVV ;*** ;Gliding snow ;Wet snow/melting near the ground ; ; ; ; ; ; ;
2014-12-04 ;2014-12-04 11:16 ;113 ;Harstad ; ;Espen@ObsKorps ;*** ; ; ; ; ; ; ; ;1 - Harmless (sluff) ;High additional load
2014-12-04 ;2014-12-04 12:53 ;111 ;Lyngsalpan ;LYNGEN ;LyngenDavid@ObsKorps ;*** ;Wind-drifted snow ;Poor bonding between layers in wind deposited snow ;Dry slab avalanche ; ; ; ;The collapsing weak layer is thin < 3 cm. ;2 - Small ;Low additional load
2014-12-04 ;2014-12-04 12:51 ;125 ;Hallingskarvet ;ÅL ;steinar@obskorps ;* ;Persistent weak layers ;Buried weak layer of faceted snow beneath a crust ;Dry slab avalanche ; ; ; ;The collapsing weak layer is thin < 3 cm. ;2 - Small ;High additional load
2014-12-04 ;2014-12-04 12:53 ;123 ;Jotunheimen ;VANG ;Leif@ObsKorps ;**** ;Persistent weak layers ;Buried weak layer of surface hoar ;Dry slab avalanche ;A big and identifiable crystal in the weak layer. ;The weak layer collapses easily and clean (easy propagation). ;The overlying slab is soft. ;The collapsing weak layer is thin < 3 cm. ;2 - Small ;High additional load
2014-12-04 ;2014-12-04 12:53 ;123 ;Jotunheimen ;VANG ;Leif@ObsKorps ;**** ;Persistent weak layers ;Buried weak layer of faceted snow near the ground ;Dry slab avalanche ;A big and identifiable crystal in the weak layer. ; ; ; ; ;High additional load
2014-12-04 ;2014-12-04 13:58 ;129 ;Tamokdalen ;BALSFJORD ;Aadne@ObsKorps ;**** ;Wind-drifted snow ;Poor bonding between layers in wind deposited snow ;Dry slab avalanche ; ; ; ; ;2 - Small ;Low additional load
2014-12-04 ;2014-12-04 13:57 ;126 ;Hemsedalfjella ;HEMSEDAL ;Siggen@obskorps ;*** ;Wind-drifted snow ;Buried weak layer of new snow ;Dry slab avalanche ; ; ; ; ;1 - Harmless (sluff) ;High additional load
2014-12-04 ;2014-12-04 13:57 ;126 ;Hemsedalfjella ;HEMSEDAL ;Siggen@obskorps ;*** ;Persistent weak layers ;Buried weak layer of faceted snow near surface ;Dry slab avalanche ; ; ; ; ;2 - Small ;High additional load
2014-12-04 ;2014-12-04 16:16 ;124 ;Voss ;VOSS ;Tor Ivar SVV ;Unknown ;New snow ;Loose snow ;Loose dry avalanche ; ; ; ; ;2 - Small ;High additional load
2014-12-05 ;2014-12-05 11:15 ;128 ;Rauland ;VINJE ;tor.olav.nystog@obskorps ;**** ;Wind-drifted snow ;Poor bonding between layers in wind deposited snow ;Dry slab avalanche ; ; ;The overlying slab is soft. ; ;2 - Small ;Low additional load
2014-12-05 ;2014-12-05 22:46 ;116 ;Lofoten ;HADSEL ;JonasD@ObsKorps ;***** ;Wet snow ;Water-saturated snow ;Loose wet avalanche ; ; ; ; ;1 - Harmless (sluff) ;Spontaneous release
2014-12-05 ;2014-12-05 13:14 ;114 ;Narvik ;NARVIK ;JonasD@ObsKorps ;***** ; ;Buried weak layer of faceted snow beneath a crust ; ; ;The weak layer collapses easily and clean (easy propagation). ; ; ; ;
2014-12-05 ;2014-12-05 13:34 ;0 ; ;ODDA ;Njål@SVV ;**** ;New snow ;Loose snow ;Loose dry avalanche ; ; ; ; ;1 - Harmless (sluff) ;
2014-12-05 ;2014-12-05 14:37 ;126 ;Hemsedalfjella ;HEMSEDAL ;Jørgen@obskorps ;**** ;Persistent weak layers ;Buried weak layer of faceted snow above a crust ;Dry slab avalanche ;A big and identifiable crystal in the weak layer. ; ; ; ;2 - Small ;High additional load
2014-12-06 ;2014-12-06 12:29 ;122 ;Sogn ;LUSTER ;martin@obskorps ;*** ;Wind-drifted snow ;Buried weak layer of new snow ;Dry slab avalanche ; ; ; ;The collapsing weak layer is thin < 3 cm. ;1 - Harmless (sluff) ;Low additional load
2014-12-06 ;2014-12-06 15:25 ;118 ;Romsdal ;RAUMA ;Urpu@Romsdal ;* ;Wind-drifted snow ;Poor bonding between layers in wind deposited snow ;Dry slab avalanche ; ; ;The overlying slab is soft. ; ;2 - Small ;High additional load
2014-12-06 ;2014-12-06 14:21 ;131 ;Svartisen ;RANA ;Gøran@ObsKorps ;*** ; ; ;Dry slab avalanche ; ; ; ; ;1 - Harmless (sluff) ;
2014-12-06 ;2014-12-06 21:03 ;123 ;Jotunheimen ;LOM ;Albert ;**** ;Persistent weak layers ;Buried weak layer of faceted snow near surface ;Dry slab avalanche ;A big and identifiable crystal in the weak layer. ;The weak layer collapses easily and clean (easy propagation). ; ;The collapsing weak layer is thin < 3 cm. ;2 - Small ;High additional load
2014-12-06 ;2014-12-06 21:03 ;123 ;Jotunheimen ;LOM ;Albert ;**** ;New snow ;Buried weak layer of new snow ;Dry slab avalanche ; ; ;The overlying slab is soft. ;The collapsing weak layer is thin < 3 cm. ;2 - Small ;High additional load
2014-12-06 ;2014-12-06 21:29 ;124 ;Voss ;VAKSDAL ;nordfjording ;Unknown ;Wind-drifted snow ;Poor bonding between crust and overlying snow ;Dry slab avalanche ; ; ; ; ;3 - Medium ;Low additional load
2014-12-07 ;2014-12-07 09:01 ;112 ;Bardu ;SALANGEN ;rayvedal ;**** ;Wind-drifted snow ;Buried weak layer of new snow ;Dry slab avalanche ; ; ; ; ;2 - Small ;High additional load
2014-12-07 ;2014-12-07 10:40 ;123 ;Jotunheimen ;VANG ;Leif@ObsKorps ;**** ;Wind-drifted snow ;Poor bonding between layers in wind deposited snow ;Dry slab avalanche ; ;The weak layer collapses easily and clean (easy propagation). ;The overlying slab is soft. ;The collapsing weak layer is thin < 3 cm. ;2 - Small ;Low additional load
2014-12-07 ;2014-12-07 11:07 ;107 ;Kåfjord ;KÅFJORD ;jan arild@NVE ;*** ; ;Buried weak layer of faceted snow near surface ; ; ; ;The overlying slab is soft. ; ;2 - Small ;High additional load
2014-12-07 ;2014-12-07 17:06 ;128 ;Rauland ;VINJE ;svein loftsgarden ;**** ;New snow ;Poor bonding between crust and overlying snow ;Dry slab avalanche ; ; ;The overlying slab is soft. ; ;2 - Small ;Low additional load
2014-12-07 ;2014-12-07 13:38 ;129 ;Tamokdalen ;BALSFJORD ;Aadne@ObsKorps ;**** ;Persistent weak layers ;Buried weak layer of surface hoar ;Dry slab avalanche ; ; ;The overlying slab is soft. ;The collapsing weak layer is thin < 3 cm. ;2 - Small ;Low additional load
2014-12-08 ;2014-12-08 08:15 ;122 ;Sogn ;SOGNDAL ;martin@obskorps ;*** ;Wind-drifted snow ;Poor bonding between layers in wind deposited snow ;Dry slab avalanche ; ; ;The overlying slab is soft. ;The collapsing weak layer is thin < 3 cm. ;2 - Small ;Low additional load
2014-12-08 ;2014-12-08 17:48 ;117 ;Trollheimen ;SUNNDAL ;geir@obskorps ;*** ;Wind-drifted snow ;Poor bonding between layers in wind deposited snow ;Dry slab avalanche ; ; ;The overlying slab is soft. ; ;2 - Small ;High additional load
2014-12-08 ;2014-12-08 11:17 ;122 ;Sogn ;SOGNDAL ;Andreas@nve ;***** ;New snow ;Buried weak layer of new snow ;Dry slab avalanche ; ;The weak layer collapses easily and clean (easy propagation). ;The overlying slab is soft. ; ;3 - Medium ;Low additional load
2014-12-08 ;2014-12-08 12:10 ;109 ;Balsfjord ;BALSFJORD ;HåvardT@nve ;***** ;Wind-drifted snow ;Poor bonding between layers in wind deposited snow ;Dry slab avalanche ; ; ;The overlying slab is soft. ;The collapsing weak layer is thin < 3 cm. ;2 - Small ;High additional load
2014-12-08 ;2014-12-08 12:52 ;120 ;Nordfjord ;STRYN ;Vidar@obskorps ;*** ; ;Buried weak layer of new snow ; ; ; ; ; ; ;
2014-12-08 ;2014-12-08 14:06 ;126 ;Hemsedalfjella ;GOL ;Markus@NVE ;***** ;New snow ;Poor bonding between crust and overlying snow ;Dry slab avalanche ; ;The weak layer collapses easily and clean (easy propagation). ;The overlying slab is soft. ; ;1 - Harmless (sluff) ;Low additional load
2014-12-08 ;2014-12-08 14:06 ;126 ;Hemsedalfjella ;GOL ;Markus@NVE ;***** ;Wind-drifted snow ;Poor bonding between layers in wind deposited snow ;Dry slab avalanche ; ;The weak layer collapses easily and clean (easy propagation). ; ; ;1 - Harmless (sluff) ;Low additional load
2014-12-09 ;2014-12-09 10:16 ;122 ;Sogn ;SOGNDAL ;StianL ;* ;Wind-drifted snow ;Buried weak layer of new snow ;Dry slab avalanche ; ; ; ;The collapsing weak layer is thin < 3 cm. ;2 - Small ;High additional load
2014-12-09 ;2014-12-09 15:12 ;125 ;Hallingskarvet ;HOL ;steinar@obskorps ;* ;Wind-drifted snow ;Buried weak layer of new snow ;Dry slab avalanche ; ; ; ; ;1 - Harmless (sluff) ;High additional load
2014-12-09 ;2014-12-09 18:29 ;116 ;Lofoten ;VÅGAN ;JonasD@ObsKorps ;***** ; ;Poor bonding between crust and overlying snow ; ; ; ; ; ;1 - Harmless (sluff) ;Low additional load
2014-12-09 ;2014-12-09 12:28 ;116 ;Lofoten ;KVÆFJORD ;Steinar@ObsKorps ;**** ;New snow ;Loose snow ;Loose dry avalanche ; ; ; ; ; ;
2014-12-09 ;2014-12-09 12:40 ;121 ;Fjordane ;JØLSTER ;birgitrustad ;**** ;Wind-drifted snow ;Poor bonding between layers in wind deposited snow ;Dry slab avalanche ; ; ;The overlying slab is soft. ; ;2 - Small ;Low additional load
2014-12-09 ;2014-12-09 12:45 ;124 ;Voss ;VOSS ;Ragne@ObsKorps ;*** ;Wind-drifted snow ;Poor bonding between layers in wind deposited snow ;Dry slab avalanche ; ; ; ; ;2 - Small ;Low additional load
2014-12-09 ;2014-12-09 12:56 ;119 ;Sunnmøre ;ØRSTA ;Christer@obskorps ;*** ;Wind-drifted snow ;Poor bonding between layers in wind deposited snow ;Dry slab avalanche ; ; ;The overlying slab is soft. ; ;2 - Small ;High additional load
2014-12-09 ;2014-12-09 12:56 ;119 ;Sunnmøre ;ØRSTA ;Christer@obskorps ;*** ; ;Buried weak layer of graupel ;Dry slab avalanche ; ; ;The overlying slab is soft. ; ;2 - Small ;High additional load
2014-12-09 ;2014-12-09 13:33 ;107 ;Kåfjord ;KÅFJORD ;jan arild@NVE ;*** ;Wind-drifted snow ;Poor bonding between layers in wind deposited snow ;Dry slab avalanche ; ;The weak layer collapses easily and clean (easy propagation). ;The overlying slab is soft. ; ;2 - Small ;High additional load
2014-12-09 ;2014-12-10 12:26 ;131 ;Svartisen ;BEIARN ;per@SVV ;*** ;Wind-drifted snow ;Poor bonding between layers in wind deposited snow ;Dry slab avalanche ; ; ;The overlying slab is soft. ;The collapsing weak layer is thin < 3 cm. ;1 - Harmless (sluff) ;High additional load
2014-12-09 ;2014-12-09 13:15 ;118 ;Romsdal ;NESSET ;solveig@NVE ;***** ;Wind-drifted snow ;Poor bonding between layers in wind deposited snow ;Dry slab avalanche ; ;The weak layer collapses easily and clean (easy propagation). ;The overlying slab is soft. ;The collapsing weak layer is thin < 3 cm. ;3 - Medium ;Spontaneous release
2014-12-09 ;2014-12-09 16:28 ;114 ;Narvik ;NARVIK ;Kaj@obskorps ;*** ;Wind-drifted snow ;Poor bonding between layers in wind deposited snow ;Dry slab avalanche ; ; ;The overlying slab is soft. ;The collapsing weak layer is thin < 3 cm. ;3 - Medium ;Low additional load
2014-12-09 ;2014-12-09 16:28 ;114 ;Narvik ;NARVIK ;Kaj@obskorps ;*** ;New snow ;Buried weak layer of new snow ;Dry slab avalanche ; ;The weak layer collapses easily and clean (easy propagation). ;The overlying slab is soft. ;The collapsing weak layer is thin < 3 cm. ;3 - Medium ;Low additional load
2014-12-09 ;2014-12-09 18:42 ;116 ;Lofoten ;VÅGAN ;JonasD@ObsKorps ;***** ;Wind-drifted snow ;Poor bonding between crust and overlying snow ;Dry slab avalanche ; ; ; ; ;1 - Harmless (sluff) ;Low additional load
2014-12-09 ;2014-12-09 22:19 ;108 ;Tromsø ;TROMSØ ;MagnusH ;**** ;Wind-drifted snow ;Poor bonding between layers in wind deposited snow ;Dry slab avalanche ; ;The weak layer collapses easily and clean (easy propagation). ;The overlying slab is soft. ;The collapsing weak layer is thin < 3 cm. ;2 - Small ;Low additional load
2014-12-09 ;2014-12-09 21:12 ;126 ;Hemsedalfjella ;HEMSEDAL ;Jørgen@obskorps ;**** ;Persistent weak layers ;Buried weak layer of faceted snow near surface ;Dry slab avalanche ;A big and identifiable crystal in the weak layer. ; ; ; ;2 - Small ;High additional load
2014-12-10 ;2014-12-10 09:13 ;117 ;Trollheimen ;Oppdal ;geir@obskorps ;*** ;Wind-drifted snow ;Poor bonding between layers in wind deposited snow ;Dry slab avalanche ; ; ;The overlying slab is soft. ; ; ;High additional load
2014-12-10 ;2014-12-10 09:13 ;117 ;Trollheimen ;Oppdal ;geir@obskorps ;*** ;Wind-drifted snow ;Poor bonding between layers in wind deposited snow ;Dry slab avalanche ; ; ;The overlying slab is soft. ; ;2 - Small ;High additional load
2014-12-10 ;2014-12-10 13:17 ;114 ;Narvik ;NARVIK ;Kaj@obskorps ;*** ;Wind-drifted snow ;Poor bonding between layers in wind deposited snow ;Dry slab avalanche ; ;The weak layer collapses easily and clean (easy propagation). ;The overlying slab is soft. ; ;3 - Medium ;High additional load
2014-12-10 ;2014-12-10 13:17 ;114 ;Narvik ;NARVIK ;Kaj@obskorps ;*** ;Wind-drifted snow ;Poor bonding between layers in wind deposited snow ;Dry slab avalanche ; ;The weak layer collapses easily and clean (easy propagation). ; ; ;3 - Medium ;High additional load
2014-12-10 ;2014-12-10 14:39 ;124 ;Voss ;VOSS ;Julie@SVV ;**** ;Wind-drifted snow ;Poor bonding between layers in wind deposited snow ;Dry slab avalanche ; ; ; ; ;3 - Medium ;Spontaneous release
2014-12-10 ;2014-12-10 15:06 ;114 ;Narvik ;NARVIK ;micke@Obskorps ;**** ;Wind-drifted snow ;Poor bonding between layers in wind deposited snow ;Dry slab avalanche ; ; ;The overlying slab is soft. ; ;2 - Small ;Low additional load
2014-12-10 ;2014-12-11 08:52 ;108 ;Tromsø ;TROMSØ ;Markus Eckerstorfer ;**** ; ;Buried weak layer of graupel ;Dry slab avalanche ; ; ; ; ;2 - Small ;High additional load
2014-12-11 ;2014-12-11 10:09 ;113 ;Harstad ; ;Espen@ObsKorps ;*** ;Persistent weak layers ;Buried weak layer of surface hoar ;Dry slab avalanche ;A big and identifiable crystal in the weak layer. ;The weak layer collapses easily and clean (easy propagation). ; ;The collapsing weak layer is thin < 3 cm. ;1 - Harmless (sluff) ;Low additional load
2014-12-11 ;2014-12-11 12:05 ;126 ;Hemsedalfjella ;HEMSEDAL ;Ingrid SVV ;Unknown ;Persistent weak layers ;Buried weak layer of faceted snow near surface ;Dry slab avalanche ; ; ;The overlying slab is soft. ;The collapsing weak layer is thin < 3 cm. ;2 - Small ;Low additional load
2014-12-11 ;2014-12-11 16:47 ;126 ;Hemsedalfjella ;HEMSEDAL ;Jørgen@obskorps ;**** ;Persistent weak layers ;Buried weak layer of faceted snow above a crust ;Dry slab avalanche ;A big and identifiable crystal in the weak layer. ; ; ; ;3 - Medium ;Low additional load
2014-12-11 ;2014-12-11 16:47 ;126 ;Hemsedalfjella ;HEMSEDAL ;Jørgen@obskorps ;**** ;Wind-drifted snow ;Poor bonding between layers in wind deposited snow ;Dry slab avalanche ; ; ;The overlying slab is soft. ; ;3 - Medium ;Low additional load
2014-12-11 ;2014-12-11 13:10 ;109 ;Balsfjord ;BALSFJORD ;ToreV@met ;*** ;Wind-drifted snow ;Poor bonding between layers in wind deposited snow ;Dry slab avalanche ; ; ;The overlying slab is soft. ;The collapsing weak layer is thin < 3 cm. ;2 - Small ;High additional load
2014-12-11 ;2014-12-11 15:47 ;126 ;Hemsedalfjella ;HEMSEDAL ;Jonas.hansen@live.no ;* ;Persistent weak layers ;Buried weak layer of faceted snow near surface ;Dry slab avalanche ;A big and identifiable crystal in the weak layer. ; ; ; ;1 - Harmless (sluff) ;High additional load
2014-12-11 ;2014-12-11 15:47 ;126 ;Hemsedalfjella ;HEMSEDAL ;Jonas.hansen@live.no ;* ;Wind-drifted snow ;Poor bonding between layers in wind deposited snow ;Dry slab avalanche ; ; ; ; ;1 - Harmless (sluff) ;High additional load
