Date ;Region id ;Region ;Nick ;DL ;Danger level ;Main message
2014-12-03 ;107 ;Kåfjord ;HåvardT@met ;2 ;2 Moderate  ;Not much snow and genreally safe conditions. Smaller slabs of wind deposited snow can be triggered in isolated features. The snow surface is mostly hard, be aware of the potential of sliding.
2014-12-03 ;108 ;Tromsø ;HåvardT@met ;2 ;2 Moderate  ;Not much snow and generally safe conditions. But new snow and strong winds in high altitudes creates small wind slabs, that can be triggered in isolated features.
2014-12-03 ;109 ;Balsfjord ;HåvardT@met ;2 ;2 Moderate  ;Not much snow and generally safe conditions. But new snow and strong winds in high altitudes creates small wind slabs, that can be triggered in isolated features.
2014-12-03 ;110 ;Senja ;Karsten@NVE ;1 ;1 Low  ;Small storm slabs in isolated areas around the highest peaks. Generally little snow in the area, and the present snow is mostly stable.
2014-12-03 ;111 ;Lyngsalpan ;HåvardT@met ;2 ;2 Moderate  ;Not much snow and generally safe conditions. But new snow and strong winds in high altitudes creates small wind slabs, that can be triggered in isolated features.
2014-12-03 ;112 ;Bardu ;Karsten@NVE ;2 ;2 Moderate  ;Storm and wind slabs in the alpine cause unstable conditions. In isolated pockets above 800 m.a.s.l. surface hoar might have survived the strong winds and got buried.
2014-12-03 ;114 ;Narvik ;Karsten@NVE ;2 ;2 Moderate  ;Storm and wind slabs in the alpine cause unstable conditions. In isolated pockets above 800 m.a.s.l. surface hoar might have survived the strong winds and got buried.
2014-12-03 ;115 ;Vesterålen ;Karsten@NVE ;1 ;1 Low  ;Small storm slabs in isolated areas around the highest peaks. Generally little snow in the area, and the present snow is mostly stable.
2014-12-03 ;116 ;Lofoten ;Karsten@NVE ;1 ;1 Low  ;Small storm slabs in isolated areas around the highest peaks. Generally little snow in the area, and the present snow is mostly stable.
2014-12-03 ;117 ;Trollheimen ;solveig@NVE ;1 ;1 Low  ;Be careful in areas with fresh wind deposited snow.
2014-12-03 ;118 ;Romsdal ;solveig@NVE ;1 ;1 Low  ;Be careful in areas with fresh wind deposited snow.
2014-12-03 ;119 ;Sunnmøre ;solveig@NVE ;1 ;1 Low  ;Be careful in areas with fresh wind deposited snow.
2014-12-03 ;121 ;Fjordane ;solveig@NVE ;2 ;2 Moderate  ;Be careful in areas with rain on Tuesday's snowfall, and in areas with fresh wind deposited snow above 1000 masl. The danger level is lower in areas with little snow.
2014-12-03 ;122 ;Sogn ;birgitrustad ;3 ;3 Considerable  ;Areas receiving a high amount of percipitation along with winddrift will reach danger level 3-considerable. In other areas danger level 2-moderate.
2014-12-03 ;123 ;Jotunheimen ;birgitrustad ;1 ;1 Low  ;Smaller slabs of wind deposited snow can be triggered in isolated features.
2014-12-03 ;124 ;Voss ;solveig@NVE ;2 ;2 Moderate  ;Be careful in areas with rain on Tuesday's snowfall, and in areas with fresh wind deposited snow above 1000 masl. The danger level is lower in areas with little snow.
2014-12-03 ;127 ;Røldal ;birgitrustad ;1 ;1 Low  ;Little snow and generally stable conditions, but in a few features unstable wind slabs can be present.
2014-12-03 ;128 ;Rauland ;birgitrustad ;1 ;1 Low  ;Generally stable conditions, but wind slabs can be present in isolated features.
2014-12-03 ;129 ;Tamokdalen ;Karsten@NVE ;2 ;2 Moderate  ;Storm and wind slabs in the alpine cause unstable conditions. In isolated pockets above 800 m.a.s.l. surface hoar might have survived the strong winds and got buried.
2014-12-03 ;131 ;Svartisen ;Karsten@NVE ;2 ;2 Moderate  ;Approaching storm can dump up to 50 cm fresh snow above 500 masl. Wind slabs in the alpine will require caution until the weather has calmed.
2014-12-03 ;132 ;Hallingdal ;birgitrustad ;2 ;2 Moderate  ;Increased temperature will weaken the stability of wind slabs.
2014-12-04 ;106 ;Alta ;ToreV@met ;1 ;1 Low  ;Not much snow and genreally safe conditions. Smaller slabs of wind deposited snow can be triggered in isolated features. The snow surface is mostly hard, be aware of the potential of sliding.
2014-12-04 ;107 ;Kåfjord ;ToreV@met ;1 ;1 Low  ;Not much snow and genreally safe conditions. Smaller slabs of wind deposited snow can be triggered in isolated features. The snow surface is mostly hard, be aware of the potential of sliding.
2014-12-04 ;108 ;Tromsø ;ToreV@met ;2 ;2 Moderate  ;Not much snow and generally safe conditions. But new snow and strong winds in high altitudes creates small wind slabs, that can be triggered in isolated features.
2014-12-04 ;109 ;Balsfjord ;ToreV@met ;2 ;2 Moderate  ;Not much snow and generally safe conditions. But new snow and strong winds in high altitudes creates small wind slabs, that can be triggered in isolated features.
2014-12-04 ;110 ;Senja ;emma@nve ;1 ;1 Low  ;Small storm slabs in isolated areas around the highest peaks. Generally little snow in the area, and the present snow is mostly stable.
2014-12-04 ;111 ;Lyngsalpan ;ToreV@met ;2 ;2 Moderate  ;Not much snow and generally safe conditions. But new snow and strong winds in high altitudes creates small wind slabs, that can be triggered in isolated features.
2014-12-04 ;112 ;Bardu ;Halvor@NVE ;2 ;2 Moderate  ;Storm and wind slabs in the alpine cause unstable conditions. In isolated pockets above 800 m.a.s.l. surface hoar might have survived the strong winds and got buried.
2014-12-04 ;114 ;Narvik ;emma@nve ;2 ;2 Moderate  ;Storm and wind slabs in the alpine cause unstable conditions. In isolated pockets above 800 m.a.s.l. surface hoar might have survived the strong winds and got buried.
2014-12-04 ;115 ;Vesterålen ;emma@nve ;1 ;1 Low  ;Small storm slabs in isolated areas around the highest peaks. Generally little snow in the area, and the present snow is mostly stable.
2014-12-04 ;116 ;Lofoten ;emma@nve ;1 ;1 Low  ;Small storm slabs in isolated areas around the highest peaks. Generally little snow in the area, and the present snow is mostly stable.
2014-12-04 ;117 ;Trollheimen ;Halvor@NVE ;1 ;1 Low  ;Be careful in areas with fresh wind deposited snow.
2014-12-04 ;118 ;Romsdal ;Halvor@NVE ;1 ;1 Low  ;Be careful in areas with fresh wind deposited snow.
2014-12-04 ;119 ;Sunnmøre ;Halvor@NVE ;1 ;1 Low  ;Be careful in areas with fresh wind deposited snow.
2014-12-04 ;121 ;Fjordane ;Halvor@NVE ;1 ;1 Low  ;Be careful in areas with fresh wind deposited snow.
2014-12-04 ;122 ;Sogn ;Andreas@nve ;2 ;2 Moderate  ;Be careful in lee areas where a persistent weak layer can be hidden in the snow pack. Avalanches is triggered most easily where the snow pack is thin, typically close to ridges and on convex formations. Remote triggering is possible.
2014-12-04 ;123 ;Jotunheimen ;Andreas@nve ;2 ;2 Moderate  ;Smaller slabs of wind deposited snow can be triggered in isolated features.
2014-12-04 ;124 ;Voss ;Halvor@NVE ;2 ;2 Moderate  ;Be careful in areas with fresh wind deposited snow.
2014-12-04 ;127 ;Røldal ;Andreas@nve ;1 ;1 Low  ;Generally stable conditions, but wind slabs can be present in isolated features.
2014-12-04 ;128 ;Rauland ;Andreas@nve ;1 ;1 Low  ;Generally stable conditions, but wind slabs can be present in isolated features.
2014-12-04 ;129 ;Tamokdalen ;Andreas@nve ;2 ;2 Moderate  ;Storm and wind slabs in the alpine cause unstable conditions. In isolated pockets above 800 m.a.s.l. surface hoar might have survived the strong winds and got buried.
2014-12-04 ;131 ;Svartisen ;emma@nve ;2 ;2 Moderate  ;Naturally released avalanches is possible. Wet avalanches up to 1100 masl and wind slabs in the alpine. Keep distance to avalanche terrain if poor visibility.
2014-12-04 ;132 ;Hallingdal ;Andreas@nve ;2 ;2 Moderate  ;
2014-12-05 ;106 ;Alta ;ToreV@met ;1 ;1 Low  ;Not much snow and generally safe conditions, but be aware that smaller slabs of wind deposited snow can be triggered in isolated features at higher elevations.
2014-12-05 ;107 ;Kåfjord ;ToreV@met ;1 ;1 Low  ;Not much snow and generally safe conditions, but be aware that smaller slabs of wind deposited snow can be triggered in isolated features at higher elevations.
2014-12-05 ;108 ;Tromsø ;ToreV@met ;2 ;2 Moderate  ;Be careful in lee areas with wind deposited snow at higher elevations, typically behind ridges, ribs and in gullies.
2014-12-05 ;109 ;Balsfjord ;ToreV@met ;2 ;2 Moderate  ;Be careful in lee areas with wind deposited snow at higher elevations, typically behind ridges, ribs and in gullies.
2014-12-05 ;110 ;Senja ;emma@nve ;1 ;1 Low  ;Small storm slabs in isolated areas around the highest peaks. Generally little snow in the area, and the present snow is mostly stable.
2014-12-05 ;111 ;Lyngsalpan ;ToreV@met ;2 ;2 Moderate  ;Be careful in lee areas with wind deposited snow at higher elevations, typically behind ridges, ribs and in gullies.
2014-12-05 ;112 ;Bardu ;emma@nve ;2 ;2 Moderate  ;Storm and wind slabs in the alpine cause unstable conditions. In isolated pockets above 800 m.a.s.l. surface hoar might have survived the strong winds and got buried.
2014-12-05 ;114 ;Narvik ;emma@nve ;2 ;2 Moderate  ;Storm and wind slabs in the alpine cause unstable conditions. In isolated pockets above 800 m.a.s.l. surface hoar might have survived the strong winds and got buried.
2014-12-05 ;115 ;Vesterålen ;emma@nve ;1 ;1 Low  ;Small storm slabs in isolated areas around the highest peaks. Generally little snow in the area, and the present snow is mostly stable.
2014-12-05 ;116 ;Lofoten ;emma@nve ;1 ;1 Low  ;Small storm slabs in isolated areas around the highest peaks. Generally little snow in the area, and the present snow is mostly stable.
2014-12-05 ;117 ;Trollheimen ;Halvor@NVE ;1 ;1 Low  ;Be careful in areas with fresh wind deposited snow.
2014-12-05 ;118 ;Romsdal ;Halvor@NVE ;1 ;1 Low  ;Be careful in areas with fresh wind deposited snow.
2014-12-05 ;119 ;Sunnmøre ;Halvor@NVE ;1 ;1 Low  ;Be careful in areas with fresh wind deposited snow.
2014-12-05 ;121 ;Fjordane ;Halvor@NVE ;1 ;1 Low  ;Be careful in areas with fresh wind deposited snow.
2014-12-05 ;122 ;Sogn ;Andreas@nve ;1 ;1 Low  ;Generally stable conditions, but you should still be careful in areas with fresh wind deposited snow.
2014-12-05 ;123 ;Jotunheimen ;Andreas@nve ;2 ;2 Moderate  ;Be careful in areas where buried surface hoar can be hidden in the snow. Areas with wind deposited snow is more vulnerable than other areas. Avalances can most easily be triggered i areas with thin snow cover (close to ridges and convex formations). Remote triggering is possible.
2014-12-05 ;124 ;Voss ;Halvor@NVE ;1 ;1 Low  ;Be careful in areas with fresh wind deposited snow.
2014-12-05 ;127 ;Røldal ;Andreas@nve ;1 ;1 Low  ;Generally stable conditions, but wind slabs can be present in isolated features.
2014-12-05 ;128 ;Rauland ;Andreas@nve ;1 ;1 Low  ;Generally stable conditions, but wind slabs can be present in isolated features.
2014-12-05 ;129 ;Tamokdalen ;ToreV@met ;2 ;2 Moderate  ;Storm and wind slabs in the alpine cause unstable conditions. In isolated pockets above 800 m.a.s.l. surface hoar might have survived the strong winds and got buried.
2014-12-05 ;131 ;Svartisen ;emma@nve ;2 ;2 Moderate  ;Be careful in areas with wind-deposited snow, typically behind ridges, ribs and in gullies.
2014-12-05 ;132 ;Hallingdal ;Andreas@nve ;1 ;1 Low  ;Generally stable conditions, but you should still be careful in areas with fresh wind deposited snow.
2014-12-06 ;106 ;Alta ;ToreV@met ;2 ;2 Moderate  ;Be careful in lee areas with wind deposited snow, typically behind ridges, ribs and in gullies.
2014-12-06 ;107 ;Kåfjord ;ToreV@met ;2 ;2 Moderate  ;Be careful in lee areas with wind deposited snow, typically behind ridges, ribs and in gullies.
2014-12-06 ;108 ;Tromsø ;ToreV@met ;2 ;2 Moderate  ;Be careful in lee areas with wind deposited snow, typically behind ridges, ribs and in gullies.
2014-12-06 ;109 ;Balsfjord ;ToreV@met ;3 ;3 Considerable  ;Be careful in lee areas with wind deposited snow, typically behind ridges, ribs and in gullies.
2014-12-06 ;110 ;Senja ;ToreV@met ;2 ;2 Moderate  ;Be careful in lee areas with wind deposited snow, typically behind ridges, ribs and in gullies.
2014-12-06 ;111 ;Lyngsalpan ;ToreV@met ;3 ;3 Considerable  ;Be careful in lee areas with wind deposited snow, typically behind ridges, ribs and in gullies.
2014-12-06 ;112 ;Bardu ;emma@nve ;3 ;3 Considerable  ;Storm and wind slabs in the alpine cause unstable conditions.
2014-12-06 ;114 ;Narvik ;emma@nve ;3 ;3 Considerable  ;Storm and wind slabs in the alpine cause unstable conditions. In isolated pockets above 800 m.a.s.l. surface hoar might have survived the strong winds and got buried.
2014-12-06 ;115 ;Vesterålen ;emma@nve ;2 ;2 Moderate  ;Be careful in areas with wind-deposited snow, typically behind ridges, ribs and in gullies.
2014-12-06 ;116 ;Lofoten ;emma@nve ;1 ;1 Low  ;Be careful in areas with wind-deposited snow, typically behind ridges, ribs and in gullies.
2014-12-06 ;117 ;Trollheimen ;Halvor@NVE ;1 ;1 Low  ;Be careful in areas with fresh wind deposited snow.
2014-12-06 ;118 ;Romsdal ;Halvor@NVE ;1 ;1 Low  ;Be careful in areas with fresh wind deposited snow.
2014-12-06 ;119 ;Sunnmøre ;Halvor@NVE ;1 ;1 Low  ;Be careful in areas with fresh wind deposited snow.
2014-12-06 ;121 ;Fjordane ;Halvor@NVE ;2 ;2 Moderate  ;Be careful in areas with fresh wind deposited snow.
2014-12-06 ;122 ;Sogn ;Andreas@nve ;2 ;2 Moderate  ;The avalanche danger will increase towards Sunday in western parts of the region due to increased precipitation and wind.
2014-12-06 ;123 ;Jotunheimen ;Andreas@nve ;2 ;2 Moderate  ;Be careful in areas where buried surface hoar can be hidden in the snow. Areas with wind deposited snow is more vulnerable than other areas. Avalances can most easily be triggered i areas with thin snow cover (close to ridges and convex formations). Remote triggering is possible.
2014-12-06 ;124 ;Voss ;Halvor@NVE ;2 ;2 Moderate  ;Be careful in areas with fresh wind deposited snow.
2014-12-06 ;127 ;Røldal ;Andreas@nve ;2 ;2 Moderate  ;Generally stable conditions, but you should still be careful in areas with fresh wind deposited snow. The avalanche danger will increase towards Sunday i western parts of the region.
2014-12-06 ;128 ;Rauland ;Andreas@nve ;1 ;1 Low  ;Generally stable conditions, but you should still be careful in areas with fresh wind deposited snow.
2014-12-06 ;129 ;Tamokdalen ;emma@nve ;3 ;3 Considerable  ;Storm and wind slabs in the alpine cause unstable conditions.
2014-12-06 ;131 ;Svartisen ;emma@nve ;3 ;3 Considerable  ;Storm and wind slabs in the alpine cause unstable conditions.
2014-12-06 ;132 ;Hallingdal ;Andreas@nve ;1 ;1 Low  ;Generally stable conditions, but you should still be careful in areas with fresh wind deposited snow. The avalanche danger will increase towards Sunday i western parts of the region.
2014-12-07 ;106 ;Alta ;ToreV@met ;2 ;2 Moderate  ;Be careful in lee areas with wind deposited snow, typically behind ridges, ribs and in gullies.
2014-12-07 ;107 ;Kåfjord ;ToreV@met ;2 ;2 Moderate  ;Be careful in lee areas with wind deposited snow, typically behind ridges, ribs and in gullies.
2014-12-07 ;108 ;Tromsø ;ToreV@met ;2 ;2 Moderate  ;Be careful in lee areas with wind deposited snow, typically behind ridges, ribs and in gullies.
2014-12-07 ;109 ;Balsfjord ;emma@nve ;2 ;2 Moderate  ;Storm and wind slabs in the alpine cause unstable conditions.
2014-12-07 ;110 ;Senja ;ToreV@met ;2 ;2 Moderate  ;Be careful in lee areas with wind deposited snow, typically behind ridges, ribs and in gullies.
2014-12-07 ;111 ;Lyngsalpan ;emma@nve ;2 ;2 Moderate  ;Storm and wind slabs in the alpine cause unstable conditions.
2014-12-07 ;112 ;Bardu ;emma@nve ;2 ;2 Moderate  ;Storm and wind slabs in the alpine cause unstable conditions.
2014-12-07 ;114 ;Narvik ;emma@nve ;3 ;3 Considerable  ;Be careful in areas with wind-deposited snow, typically behind ridges, ribs and in gullies.
2014-12-07 ;115 ;Vesterålen ;emma@nve ;3 ;3 Considerable  ;Be careful in areas with wind-deposited snow, typically behind ridges, ribs and in gullies.
2014-12-07 ;116 ;Lofoten ;emma@nve ;2 ;2 Moderate  ;Be careful in areas with wind-deposited snow, typically behind ridges, ribs and in gullies.
2014-12-07 ;117 ;Trollheimen ;Halvor@NVE ;2 ;2 Moderate  ;Be careful in areas with fresh wind deposited snow.
2014-12-07 ;118 ;Romsdal ;Halvor@NVE ;2 ;2 Moderate  ;Be careful in areas with fresh wind deposited snow.
2014-12-07 ;119 ;Sunnmøre ;Halvor@NVE ;2 ;2 Moderate  ;Be careful in areas with fresh wind deposited snow.
2014-12-07 ;121 ;Fjordane ;Halvor@NVE ;3 ;3 Considerable  ;The avalanche danger will increase due to heavy snowfall and wind. Be careful in areas with wind-deposited snow, typically behind ridges, ribs and in gullies.
2014-12-07 ;122 ;Sogn ;Andreas@nve ;2 ;2 Moderate  ;The avalanche danger will increase Sunday due to increased precipitation and wind. Avoid terrain traps and large steep slopes until the new snow has stabilized.
2014-12-07 ;123 ;Jotunheimen ;Andreas@nve ;2 ;2 Moderate  ;Be careful in areas where buried surface hoar can be hidden in the snow. Areas with wind deposited snow is more vulnerable than other areas. Avalances can most easily be triggered i areas with thin snow cover (close to ridges and convex formations). Remote triggering is possible.
2014-12-07 ;124 ;Voss ;Halvor@NVE ;3 ;3 Considerable  ;The avalanche danger will increase due to heavy snowfall and wind. Be careful in areas with wind-deposited snow, typically behind ridges, ribs and in gullies.
2014-12-07 ;127 ;Røldal ;Andreas@nve ;3 ;3 Considerable  ;The avalanche danger will increase due to heavy snowfall and wind. Avoid terrain traps and large steep slopes until the new snow has stabilized. Naturally released avalanches possible.
2014-12-07 ;128 ;Rauland ;Andreas@nve ;2 ;2 Moderate  ;The avalanche danger will increase Sunday in western parts of the region due to precipitation and wind.
2014-12-07 ;129 ;Tamokdalen ;emma@nve ;2 ;2 Moderate  ;Storm and wind slabs in the alpine cause unstable conditions.
2014-12-07 ;131 ;Svartisen ;emma@nve ;3 ;3 Considerable  ;Be careful in areas with wind-deposited snow, typically behind ridges, ribs and in gullies.
2014-12-07 ;132 ;Hallingdal ;Andreas@nve ;2 ;2 Moderate  ;The avalanche danger will increase Sunday due to increased precipitation and wind in western parts of the region. Avoid terrain traps and large steep slopes until the new snow has stabilized.
2014-12-08 ;106 ;Alta ;ToreV@met ;2 ;2 Moderate  ;Be careful in lee areas with wind deposited snow, typically behind ridges, ribs and in gullies.
2014-12-08 ;107 ;Kåfjord ;ToreV@met ;2 ;2 Moderate  ;Be aware that there can be pockets with persistent weak layer beneath wind deposited snow. Be careful in areas these areas.
2014-12-08 ;108 ;Tromsø ;ToreV@met ;2 ;2 Moderate  ;Be careful in lee areas with wind deposited snow, typically behind ridges, ribs and in gullies.
2014-12-08 ;109 ;Balsfjord ;ToreV@met ;2 ;2 Moderate  ;Be careful in lee areas with wind deposited snow, typically behind ridges, ribs and in gullies.
2014-12-08 ;110 ;Senja ;ToreV@met ;2 ;2 Moderate  ;Be careful in lee areas with wind deposited snow, typically behind ridges, ribs and in gullies.
2014-12-08 ;111 ;Lyngsalpan ;ToreV@met ;2 ;2 Moderate  ;Be careful in lee areas with wind deposited snow, typically behind ridges, ribs and in gullies.
2014-12-08 ;112 ;Bardu ;emma@nve ;2 ;2 Moderate  ;Storm and wind slabs in the alpine cause unstable conditions.
2014-12-08 ;114 ;Narvik ;emma@nve ;3 ;3 Considerable  ;Be careful in areas with wind-deposited snow, typically behind ridges, ribs and in gullies.
2014-12-08 ;115 ;Vesterålen ;emma@nve ;3 ;3 Considerable  ;Be careful in areas with wind-deposited snow, typically behind ridges, ribs and in gullies.
2014-12-08 ;116 ;Lofoten ;emma@nve ;2 ;2 Moderate  ;Be careful in areas with wind-deposited snow, typically behind ridges, ribs and in gullies.
2014-12-08 ;117 ;Trollheimen ;Halvor@NVE ;1 ;1 Low  ;Be careful in areas with fresh wind deposited snow.
2014-12-08 ;118 ;Romsdal ;knutinge@svv ;2 ;2 Moderate  ;Be careful in areas with fresh wind deposited snow.
2014-12-08 ;119 ;Sunnmøre ;Halvor@NVE ;3 ;3 Considerable  ;The avalanche danger will increase due to heavy snowfall and wind. Be careful in areas with wind-deposited snow, typically behind ridges, ribs and in gullies.
2014-12-08 ;121 ;Fjordane ;Halvor@NVE ;3 ;3 Considerable  ;The avalanche danger will increase due to heavy snowfall and wind. Be careful in areas with wind-deposited snow, typically behind ridges, ribs and in gullies.
2014-12-08 ;122 ;Sogn ;Andreas@nve ;3 ;3 Considerable  ;The avalanche danger will increase Monday due to increased precipitation and wind in wetstern parts of the region. Avoid terrain traps and large steep slopes until the new snow has stabilized.
2014-12-08 ;123 ;Jotunheimen ;Andreas@nve ;2 ;2 Moderate  ;Be careful in areas where buried surface hoar can be hidden in the snow. Areas with wind deposited snow is more vulnerable than other areas. Avalances can most easily be triggered i areas with thin snow cover (close to ridges and convex formations). Remote triggering is possible.
2014-12-08 ;124 ;Voss ;Halvor@NVE ;3 ;3 Considerable  ;The avalanche danger will increase due to heavy snowfall and wind. Be careful in areas with wind-deposited snow, typically behind ridges, ribs and in gullies.
2014-12-08 ;127 ;Røldal ;Andreas@nve ;3 ;3 Considerable  ;The avalanche danger will increase due to heavy snowfall and wind. Avoid terrain traps and large steep slopes until the new snow has stabilized. Naturally released avalanches possible.
2014-12-08 ;128 ;Rauland ;Andreas@nve ;2 ;2 Moderate  ;Be careful in lee areas with wind deposited snow, typically behind ridges, ribs and in gullies.
2014-12-08 ;129 ;Tamokdalen ;emma@nve ;2 ;2 Moderate  ;Storm and wind slabs in the alpine cause unstable conditions.
2014-12-08 ;131 ;Svartisen ;Halvor@NVE ;3 ;3 Considerable  ;Be careful in areas with wind-deposited snow, typically behind ridges, ribs and in gullies.
2014-12-08 ;132 ;Hallingdal ;Andreas@nve ;2 ;2 Moderate  ;Be careful in areas where a persistent weak layer can be hidden in the snow pack. Avalanches is triggered where the snow pack is thin, typically close to ridges and on convex formations.
2014-12-09 ;106 ;Alta ;Ida@met ;2 ;2 Moderate  ;Be careful in lee areas with wind deposited snow, typically behind ridges, ribs and in gullies.
2014-12-09 ;107 ;Kåfjord ;Ida@met ;2 ;2 Moderate  ;Be aware that there can be pockets with persistent weak layer beneath wind deposited snow. Be careful in areas these areas.
2014-12-09 ;108 ;Tromsø ;Ida@met ;2 ;2 Moderate  ;Be careful in lee areas with wind deposited snow, typically behind ridges, ribs and in gullies.
2014-12-09 ;109 ;Balsfjord ;Ida@met ;2 ;2 Moderate  ;Be careful in lee areas with wind deposited snow, typically behind ridges, ribs and in gullies.
2014-12-09 ;110 ;Senja ;Karsten@NVE ;2 ;2 Moderate  ;Be careful in lee areas with wind deposited snow, typically behind ridges, ribs and in gullies.
2014-12-09 ;111 ;Lyngsalpan ;Ida@met ;2 ;2 Moderate  ;Be careful in lee areas with wind deposited snow, typically behind ridges, ribs and in gullies.
2014-12-09 ;112 ;Bardu ;Karsten@NVE ;2 ;2 Moderate  ;Storm and wind slabs in the alpine cause unstable conditions.
2014-12-09 ;114 ;Narvik ;Karsten@NVE ;2 ;2 Moderate  ;Be careful in areas with wind-deposited snow, typically behind ridges, ribs and in gullies.
2014-12-09 ;115 ;Vesterålen ;Karsten@NVE ;2 ;2 Moderate  ;Be careful in areas with wind-deposited snow, typically behind ridges, ribs and in gullies.
2014-12-09 ;116 ;Lofoten ;Karsten@NVE ;2 ;2 Moderate  ;Be careful in areas with wind-deposited snow, typically behind ridges, ribs and in gullies.
2014-12-09 ;117 ;Trollheimen ;knutinge@svv ;2 ;2 Moderate  ;Be careful in areas with fresh wind deposited snow.
2014-12-09 ;118 ;Romsdal ;knutinge@svv ;2 ;2 Moderate  ;Be careful in areas with fresh wind deposited snow.
2014-12-09 ;119 ;Sunnmøre ;knutinge@svv ;3 ;3 Considerable  ;The avalanche danger will increase due to heavy snowfall and wind. Be careful in areas with wind-deposited snow, typically behind ridges, ribs and in gullies.
2014-12-09 ;121 ;Fjordane ;knutinge@svv ;3 ;3 Considerable  ;The avalanche danger will increase due to heavy snowfall and wind. Be careful in areas with wind-deposited snow, typically behind ridges, ribs and in gullies.
2014-12-09 ;122 ;Sogn ;knutinge@svv ;3 ;3 Considerable  ;Be careful in lee areas with wind deposited snow, typically behind ridges, ribs and in gullies. The avalanche danger is highest in western parts.
2014-12-09 ;123 ;Jotunheimen ;Espen Granan ;2 ;2 Moderate  ;Be careful in areas where buried surface hoar can be hidden in the snow. Areas with wind deposited snow is more vulnerable than other areas. Avalances can most easily be triggered i areas with thin snow cover (close to ridges and convex formations). Remote triggering is possible.
