Antall;Faregrad;Skredproblem;Skredutløser;Svakt lag;Skredtype;Hovedbudskap norsk
2;Fg3 (2);Nysnøflak (2), Vedvarende svakt lag (2), Våte flakskred (1);Liten tilleggsbelastning (4), Naturlig utløst (1);Nedføyket svakt lag med nysnø (2), Nedsnødd eller nedføyket kantkornet snø (2), Opphopning av vann i/over lag i snødekket (1);Tørre flakskred (4), Våte flakskred (1);Det er eit komplekst snødekke, med nysnøflak i mange himmelretningar og fleire vedvarande svake lag. Ta konservative vegval.;It's a complex snow cover with wind slabs in many directions, and several persistant weak layers. Avoid avalanche terrain.
1;Fg3 (1);Fokksnø (1), Vedvarende svakt lag (1);Naturlig utløst (1), Liten tilleggsbelastning (1);Nedføyket svakt lag med nysnø (1), Nedsnødd eller nedføyket kantkornet snø (1);Tørre flakskred (2);Det er fortsatt ustabile fokksnøflak som utgjør skredproblemet. Disse vil ligge på varierende underlag og stabiliten kan derfor variere innenfor små områder.;There is a persistent weak layer buried in the snow cover that may be triggered by a skier or snowmobile. Remote triggering possible on hotspots or on convex terrain where the snow cover is thin. Wind slabs in the alpine may also form avalanches.
1;Fg2 (1);Våte flakskred (1), Våte løssnøskred  (1);Naturlig utløst (2);Kantkornet snø ved bakken (1), Ubunden snø (1);Våte flakskred (1), Våte løssnøskred  (1);Det er lagdelt snø og det kan finnes vedvarende svake lag i nordvendte sider over ca. 500 moh som kan påvirkes av regn og mildvær.;Be aware that persistent weak layers can be hidden in the snow pack, in north aspects, over approximately 500 mas.
1;Fg2 (1);Våte løssnøskred  (1), Våte flakskred (1);Naturlig utløst (2);Ubunden snø (1), Opphopning av vann i/over lag i snødekket (1);Våte løssnøskred  (1), Våte flakskred (1);Det er mykje vatn i snøen i låglandet. Flakskred og glideskred kan gå der vatn hopar seg opp. Høgt til fjells finst det nysnøflak.;Be careful in steep slopes with soft, wet snow. Small wind slabs can be present in the highest altitudes. Wet slabs may be released above 700 mas due to rain and accumulation of water around ice crust. Be aware that persistent weak layers can be hidden in the snow pack, in north aspects, over approximately 1000 mas.
3;Fg4 (3);Fokksnø (3), Vedvarende svakt lag (3);Naturlig utløst (5), Liten tilleggsbelastning (1);Nedføyket svakt lag med nysnø (3), Kantkornet snø under skarelag (3);Tørre flakskred (6);Det er omfattende ustabile forhold på grunn av store nysnømengder og vind den siste tiden. Naturlig utløste skred ventes. Unngå skredterreng og utløpsområder.;Dangerous avalanche conditions due to large amounts of new snow and strong winds during the last week. Natural avalanches are likely. Avoid avalanche terrain and run-out zones. Road closures are in effect.
4;Fg2 (2), Fg3 (2);Nysnøflak (4), Våte løssnøskred  (2);Liten tilleggsbelastning (3), Naturlig utløst (3);Nedføyket svakt lag med nysnø (4), Ubunden snø (2);Tørre flakskred (4), Våte løssnøskred  (2);Det finnast ferske flak av nysnø og fokksnø i leformasjonar i terrenget. Skred er lettast å løyse ut der flaka er er tynne eller mjuke.;Be careful in lee areas with wind deposited snow, typically behind ridges, ribs and in gullies. Especially where the wind deposited slabs are thin or soft, a slab avalanche is easier to trigger here.
12;Fg2 (9), Fg3 (3);Vedvarende svakt lag (16), Fokksnø (3);Liten tilleggsbelastning (17), Stor tilleggsbelastning (2);Nedsnødd eller nedføyket kantkornet snø (14), Nedføyket svakt lag med nysnø (3), Kantkornet snø over skarelag (2);Tørre flakskred (19);Det finnast ferske fokksnøflak i leområder. Det er også vedvarande svake lag høgt i snødekket som kan påverkast av ein skikøyrar.;There are windslabs in lee areas. There are also persistent weak layers high in the snowpack that can be affected by a skier.
4;Fg2 (4);Vedvarende svakt lag (4), Fokksnø (1);Liten tilleggsbelastning (5);Nedsnødd eller nedføyket kantkornet snø (4), Nedføyket svakt lag med nysnø (1);Tørre flakskred (5);Det finnast ferske fokksnøflak på kantkornlag i leområder, som er lett å påverke.;There are windslabs on top of persistent weeak layers in lee areas.
2;Fg2 (1), Fg3 (1);Vedvarende svakt lag (4), Nysnøflak (1);Liten tilleggsbelastning (4), Naturlig utløst (1);Nedsnødd eller nedføyket kantkornet snø (2), Kantkornet snø over skarelag (2), Nedføyket svakt lag med nysnø (1);Tørre flakskred (5);Det finnast fokksnøflak på vedvarande svake lag som er enkle å påverke.;There are windslabs on top of persistent weeak layers in lee areas.
1;Fg2 (1);Våte løssnøskred  (1), Vedvarende svakt lag (1);Naturlig utløst (1), Stor tilleggsbelastning (1);Ubunden snø (1), Nedsnødd eller nedføyket kantkornet snø (1);Våte løssnøskred  (1), Tørre flakskred (1);Det finnes aktive vedvarende svake lag. Regn og varme temperaturer høyt til fjells gir økende risiko for våte løssnø-og flakskred mot kvelden.;Rain and high temperatures gives higher risk of wet loose-snow and slab avalanches in the evening. Challenging conditions due to different avalanche problems, a persistant weak layer of facets is present in many areas. Be aware of cornice falls.
1;Fg2 (1);Våte løssnøskred  (1), Vedvarende svakt lag (1);Naturlig utløst (1), Stor tilleggsbelastning (1);Ubunden snø (1), Nedsnødd eller nedføyket kantkornet snø (1);Våte løssnøskred  (1), Tørre flakskred (1);Det finnes aktive vedvarende svake lag. Regn og varme temperaturer høyt til fjells gir økende risiko for våte løssnø-og flakskred. Vær oppmerksom på skavlbrudd.;Challenging conditions due to different avalanche problems. A persistant weak layer of facets is present in many areas. Rain and high temperatures gives higher risk of wet loose-snow and slab avalanches in steep sun-exposed terrain. Be aware of cornice falls.
8;Fg2 (8);Våte løssnøskred  (8), Vedvarende svakt lag (8);Naturlig utløst (8), Liten tilleggsbelastning (5), Stor tilleggsbelastning (3);Ubunden snø (8), Nedsnødd eller nedføyket kantkornet snø (8);Våte løssnøskred  (8), Tørre flakskred (8);Det finnes aktive vedvarende svake lag. Sol og varme temperaturer høyt til fjells gir økt risiko for våte løssnø-og flakskred. Vær oppmerksom på skavlbrudd.;Complex conditions with several avalanche problems. A persistant weak layer of facets is present in many areas. Sun and high temperatures gives higher risk of wet loose-snow and slab avalanches in steep sun-exposed terrain. Be aware of cornice falls.
1;Fg2 (1);Fokksnø (1), Våte flakskred (1);Liten tilleggsbelastning (1), Naturlig utløst (1);Nedføyket svakt lag med nysnø (1), Kantkornet snø over skarelag (1);Tørre flakskred (1), Våte flakskred (1);Det finnes fersk fokksnø høyere til fjells. Snødekket er fremdeles vått og ustabilt lavt i terrenget. Unngå potensielle løsneområder og utløpsområder for skred.;Be aware of fresh wind deposited snow at high altitude. The snowpack is still wet and unstable at lower altitude. Avoid potential release areas and runout areas for avalanches.
1;Fg2 (1);Fokksnø (2);Stor tilleggsbelastning (1), Liten tilleggsbelastning (1);Nedføyket svakt lag med nysnø (2);Tørre flakskred (2);Det finnes fersk fokksnø i leformasjonar i terrenget. Skred er lettest å løse ut der fokksnølaget er tynt eller mykt, som foreksempel i skoggrensen.;Be careful in lee areas with wind deposited snow, typically behind ridges, ribs and in gullies. Especially where the wind deposited slabs are thin or soft, a slab avalanche is easier to trigger here.
1;Fg2 (1);Fokksnø (1), Vedvarende svakt lag (1);Liten tilleggsbelastning (1), Stor tilleggsbelastning (1);Nedføyket svakt lag med nysnø (1), Kantkornet snø over skarelag (1);Tørre flakskred (2);Det finnes fersk fokksnø i leformasjonar i terrenget. Skred er lettest å løse ut der fokksnølaget er tynt eller mykt.;Be careful in lee areas with wind deposited snow, typically behind ridges, ribs and in gullies. Especially where the wind deposited slabs are thin or soft, a slab avalanche is easier to trigger here.
2;Fg2 (1), Fg3 (1);Fokksnø (2), Vedvarende svakt lag (1);Liten tilleggsbelastning (2), Stor tilleggsbelastning (1);Nedføyket svakt lag med nysnø (2), Kantkornet snø over skarelag (1);Tørre flakskred (3);Det finnes fersk fokksnø i leformasjonar i terrenget. Skred er lettest å løse ut der fokksnølaget er tynt eller mykt. Minkende skredfare i løpet av dagen.;Be careful in lee areas with wind deposited snow, typically behind ridges, ribs and in gullies. Especially where the wind deposited slabs are thin or soft, a slab avalanche is easier to trigger here. Decreasing avalanche hazard during the day.
5;Fg2 (5);Fokksnø (5);Liten tilleggsbelastning (4), Stor tilleggsbelastning (1);Nedføyket svakt lag med nysnø (4), Dårlig binding mellom lag i fokksnøen (1);Tørre flakskred (5);Det finnes fersk fokksnø i leformasjoner i terrenget. Skred er lettest å løse ut der fokksnølaget er mykt.;Be careful in lee areas with wind deposited snow, typically behind ridges, ribs and in gullies. Especially where the wind deposited slabs are soft, a slab avalanche is easier to trigger here.
3;Fg2 (3);Fokksnø (3), Vedvarende svakt lag (2);Liten tilleggsbelastning (3), Stor tilleggsbelastning (2);Kantkornet snø ved bakken (2), Dårlig binding mellom lag i fokksnøen (2), Nedføyket svakt lag med nysnø (1);Tørre flakskred (5);Det finnes fersk fokksnø i leformasjoner i terrenget. Skred er lettest å løse ut der fokksnølaget er tynt eller mykt.;Be careful in lee areas with wind deposited snow, typically behind ridges, ribs and in gullies. Especially where the wind deposited slabs are thin or soft, a slab avalanche is easier to trigger here.
1;Fg2 (1);Fokksnø (1);Stor tilleggsbelastning (1);Nedføyket svakt lag med nysnø (1);Tørre flakskred (1);Det finnes fersk fokksnø i leformasjoner i terrenget. Skred er lettest å løyse ut der fokksnølaget er tynt eller mykt.;Be careful in lee areas with wind deposited snow, typically behind ridges, ribs and in gullies. Especially where the wind deposited slabs are thin or soft, a slab avalanche is easier to trigger here.
1;Fg2 (1);Fokksnø (1), Våte flakskred (1);Liten tilleggsbelastning (1), Naturlig utløst (1);Nedføyket svakt lag med nysnø (1), Kantkornet snø over skarelag (1);Tørre flakskred (1), Våte flakskred (1);Det finnes fersk fokksnø. Snødekket er fremdeles vått og ustabilt lavt i terrenget. Unngå potensielle løsneområder og utløpsområder for skred.;Be aware of fresh wind deposited snow. The snowpack is still wet and unstable at lower altitude. Avoid potential release areas and runout areas for avalanches.
1;Fg2 (1);Fokksnø (1);Liten tilleggsbelastning (1);Nedføyket svakt lag med nysnø (1);Tørre flakskred (1);Det finnes ferske flak av fokksnø i leformasjonar i terrenget. Skred er lettest å løse ut der flakene er er tynne eller myke.;Be careful in lee areas with wind deposited snow, typically behind ridges, ribs and in gullies. Especially where the wind deposited slabs are thin or soft, a slab avalanche is easier to trigger here.
1;Fg2 (1);Nysnøflak (1);Liten tilleggsbelastning (1);Nedføyket svakt lag med nysnø (1);Tørre flakskred (1);Det finnes ferske flak av nysnø og fokksnø i leformasjonar i terrenget. Skred er lettest å løse ut der flakene er er tynne eller myke.;Be careful in lee areas with wind deposited snow, typically behind ridges, ribs and in gullies. Especially where the wind deposited slabs are thin or soft, a slab avalanche is easier to trigger here.
2;Fg2 (2);Nysnøflak (2);Liten tilleggsbelastning (2);Nedføyket svakt lag med nysnø (2);Tørre flakskred (2);Det finnes ferske flak av nysnø og fokksnø i leformasjoner i terrenget. Skred er lettest å løse ut der flakene er er tynne eller myke.;Be careful in lee areas with wind deposited snow, typically behind ridges, ribs and in gullies. Especially where the wind deposited slabs are thin or soft, a slab avalanche is easier to trigger here.
6;Fg2 (4), Fg3 (2);Vedvarende svakt lag (6), Fokksnø (4), Nysnøflak (2), Våte løssnøskred  (2);Stor tilleggsbelastning (7), Liten tilleggsbelastning (4), Naturlig utløst (3);Nedføyket svakt lag med nysnø (6), Kantkornet snø over skarelag (6), Ubunden snø (2);Tørre flakskred (12), Våte løssnøskred  (2);Det finnes ferske fokksnøflak i leformasjoner i terrenget, stedvis med svake kantkornlag under. Skred er lettest å løse ut der flakene er er tynne eller myke.;Be careful in lee areas with wind deposited snow, typically behind ridges, ribs and in gullies. Faceted snow is observed between wind slab and crust. Take caution especially where the wind deposited slabs are thin or soft, a slab avalanche is easier to trigger here.
1;Fg2 (1);Fokksnø (1);Stor tilleggsbelastning (1);Dårlig binding mellom lag i fokksnøen (1);Tørre flakskred (1);Det finnes fokksnø i leformasjoner i terrenget. Skred er lettest å løse ut der fokksnølaget er tynt eller mykt. Minkende skredfare i løpet av dagen.;Be careful in lee areas with wind deposited snow, typically behind ridges, ribs and in gullies. Especially where the wind deposited slabs are thin or soft, a slab avalanche is easier to trigger here. Decreasing avalanche hazard during the day.
4;Fg2 (4);Vedvarende svakt lag (4);Liten tilleggsbelastning (4);Nedsnødd eller nedføyket kantkornet snø (4);Tørre flakskred (4);Det finnes områder med svake lag av kantkorn og rim under den vindtransporterte snøen. Vær forsiktig nært ryggar og kular, særlig i eller nært terrengfeller.;There can be pockets with persistent weak layers beneath wind deposited snow. Be careful close to ridges and convex terrain, especially in and close to terrain traps.
5;Fg2 (5);Vedvarende svakt lag (5), Fokksnø (4);Liten tilleggsbelastning (6), Stor tilleggsbelastning (3);Nedsnødd eller nedføyket kantkornet snø (5), Nedføyket svakt lag med nysnø (4);Tørre flakskred (9);Det finnes områder med svake lag av kantkorn og rim under den vindtransporterte snøen. Vær forsiktig nært rygger og kuler, særlig i eller nært terrengfeller.;Be aware that there can be pockets with persistent weak layers beneath wind deposited snow, especially in Rauma and Eikesdalen mountains. Be careful close to ridges and convex terrain, especially in and close to terrain traps.
1;Fg2 (1);Vedvarende svakt lag (1), Fokksnø (1);Liten tilleggsbelastning (2);Nedsnødd eller nedføyket overflaterim (1), Nedføyket svakt lag med nysnø (1);Tørre flakskred (2);Det finnes områder med svake lag av rim og kantkorn under den vindtransporterte snøen. Vær forsiktig i leområder, særlig i eller nært terrengfeller.;Be aware that there can be pockets with persistent weak layers beneath wind deposited snow. Be careful in these areas, especially in and close to terrain traps.
9;Fg2 (9);Vedvarende svakt lag (11), Fokksnø (6);Liten tilleggsbelastning (12), Stor tilleggsbelastning (5);Nedsnødd eller nedføyket overflaterim (8), Nedføyket svakt lag med nysnø (6), Nedsnødd eller nedføyket kantkornet snø (3);Tørre flakskred (17);Det finnes områder med svake lag av rim og kantkorn under den vindtransporterte snøen. Vær forsiktig på rygger og kuler, særlig i eller nært terrengfeller.;Be aware that there can be pockets with persistent weak layers beneath wind deposited snow, especially in Sunndal and Oppdal mountains. Be careful close to ridges and convex terrain, especially in and close to terrain traps.
7;Fg2 (7);Vedvarende svakt lag (11), Fokksnø (2);Liten tilleggsbelastning (7), Stor tilleggsbelastning (6);Kantkornet snø under skarelag (6), Nedsnødd eller nedføyket overflaterim (5), Nedføyket svakt lag med nysnø (2);Tørre flakskred (13);Det finnes områder med svake lag av rim og nysnø under den vindtransporterte snøen. Vær forsiktig i leområder, særlig i eller nært terrengfeller.;Be aware that there can be pockets with persistent weak layer beneath wind deposited snow. Be careful in these areas, especially in and close to terrain traps.
3;Fg2 (3);Vedvarende svakt lag (3);Liten tilleggsbelastning (3);Nedsnødd eller nedføyket overflaterim (3);Tørre flakskred (3);Det finnes områder med svake lag av rim under den vindtransporterte snøen, i indre strøk. Vær forsiktig i leområder, særlig i eller nært terrengfeller.;Be aware that there can be pockets with persistent weak layer beneath wind deposited snow. Be careful in these areas, especially in and close to terrain traps.
1;Fg2 (1);Vedvarende svakt lag (1), Våte løssnøskred  (1);Liten tilleggsbelastning (1), Naturlig utløst (1);Nedsnødd eller nedføyket overflaterim (1), Ubunden snø (1);Tørre flakskred (1), Våte løssnøskred  (1);Det finnes områder med svake lag av rim under den vindtransporterte snøen, vær forsiktig i leområder. Våte skred må forventes i lavlandet.;Be aware that there can be pockets with persistent weak layer beneath wind deposited snow. Be careful in these areas, especially in and close to terrain traps. Wet slides must be expected at lower elevations.
1;Fg2 (1);Vedvarende svakt lag (1), Våte løssnøskred  (1);Liten tilleggsbelastning (1), Naturlig utløst (1);Nedsnødd eller nedføyket overflaterim (1), Ubunden snø (1);Tørre flakskred (1), Våte løssnøskred  (1);Det finnes områder med svake lag av rim under den vindtransporterte snøen. Våte skred må forventes under mildværsgrensa.;Be aware that there can be pockets with persistent weak layer beneath wind deposited snow. Be careful in these areas, especially in and close to terrain traps. Wet slides must be expected at lower elevations.
21;Fg2 (21);Vedvarende svakt lag (26), Fokksnø (9), Tørre løssnøskred (2), Nysnøflak (1);Liten tilleggsbelastning (32), Stor tilleggsbelastning (6);Nedsnødd eller nedføyket overflaterim (20), Nedføyket svakt lag med nysnø (10), Nedsnødd eller nedføyket kantkornet snø (4), Ubunden snø (2), Kantkornet snø under skarelag (2);Tørre flakskred (36), Tørre løssnøskred  (2);Det finnes områder med svake lag av rim under den vindtransporterte snøen. Vær forsiktig i leområder, særlig i eller nært terrengfeller.;Be aware that there can be pockets with persistent weak layer beneath wind deposited snow. Be careful in these areas, especially in and close to terrain traps.
4;Fg2 (4);Vedvarende svakt lag (5), Nysnøflak (1);Liten tilleggsbelastning (3), Stor tilleggsbelastning (3);Nedsnødd eller nedføyket kantkornet snø (3), Nedføyket svakt lag med nysnø (1), Kantkornet snø over skarelag (1), Nedsnødd eller nedføyket overflaterim (1);Tørre flakskred (6);Det finnes områder med svake lag i snødekket, spesielt rundt skoggrensa. Vær forsiktig i leområder, særlig i eller nært terrengfeller.;Be aware that there can be pockets with persistent weak layer beneath wind deposited snow, especially around the treeline.
1;Fg2 (1);Vedvarende svakt lag (1);Stor tilleggsbelastning (1);Kantkornet snø under skarelag (1);Tørre flakskred (1);Det finnes områder med svake lag i snødekket. Vær forsiktig hvor snødekket er tynt eller der hvor snøoverflaten mykes opp av sol eller milde temperaturer.;Persistent weak layers buried in the snow can cause medium large avalanches, its most likely to trigger persistent weak layers where the snowcover is soft or thin.
2;Fg2 (2);Vedvarende svakt lag (2);Liten tilleggsbelastning (2);Nedsnødd eller nedføyket kantkornet snø (2);Tørre flakskred (2);Det finnes områder med svake lag i snødekket. Vær forsiktig i leområder, særlig i eller nært terrengfeller.;Be aware that there can be pockets with persistent weak layer beneath wind deposited snow.
1;Fg2 (1);Vedvarende svakt lag (1), Fokksnø (1);Liten tilleggsbelastning (2);Nedsnødd eller nedføyket kantkornet snø (1), Nedføyket svakt lag med nysnø (1);Tørre flakskred (2);Det finnes områder med svake lag under den vindtransporterte snøen. Vær forsiktig i leområder, særlig i eller nært terrengfeller.;Be aware that there can be pockets with persistent weak layer beneath wind deposited snow. Be careful in these areas, especially in and close to terrain traps.
3;Fg2 (3);Vedvarende svakt lag (3), Fokksnø (3);Liten tilleggsbelastning (3), Stor tilleggsbelastning (3);Kantkornet snø under skarelag (3), Dårlig binding mellom lag i fokksnøen (3);Tørre flakskred (6);Det finnes områder med svake lag. Vær forsiktig i leområder, særlig i eller nært terrengfeller.;Be aware that there can be pockets with persistent weak layer beneath wind deposited snow. Be careful in these areas, especially in and close to terrain traps.
4;Fg2 (4);Vedvarende svakt lag (4);Stor tilleggsbelastning (4);Kantkornet snø under skarelag (4);Tørre flakskred (4);Det finnes svake lag i snødekket som kan påverkast der snødekket er tynt.;There is a persistent weak layer buried in the snow cover that may be triggered by high additional load.
1;Fg2 (1);Våte flakskred (1), Vedvarende svakt lag (1), Fokksnø (1);Stor tilleggsbelastning (2), Naturlig utløst (1);Opphopning av vann i/over lag i snødekket (1), Nedsnødd eller nedføyket kantkornet snø (1), Nedføyket svakt lag med nysnø (1);Tørre flakskred (2), Våte flakskred (1);Det finnes svake lag i snødekket som kan påvirke av en skiløper, spesielt der snødekket er tynt. Våte skred kan løsne av seg selv der sola har stått på.;There is a persistent weak layer buried in the snow cover that may be triggered by a skier. Remote triggering possible on hotspots or on convex terrain where the snow cover is thin. Wet avalanches can release naturally in sunexposed areas. Be also aware of cornices than kan break off due to rising temperatures.
1;Fg2 (1);Vedvarende svakt lag (1), Våte løssnøskred  (1);Liten tilleggsbelastning (1), Naturlig utløst (1);Nedsnødd eller nedføyket kantkornet snø (1), Ubunden snø (1);Tørre flakskred (1), Våte løssnøskred  (1);Det finnes svake lag i snødekket som kan påvirkes av en skiløper, spesielt der snødekket er tynt. Fjernutløsning av skred er mulig.;There is a persistent weak layer buried in the snow cover that may be triggered by a skier. Remote triggering possible on hotspots or on convex terrain where the snow cover is thin.
2;Fg2 (2);Vedvarende svakt lag (2), Fokksnø (2), Våte løssnøskred  (2);Liten tilleggsbelastning (2), Stor tilleggsbelastning (2), Naturlig utløst (2);Nedsnødd eller nedføyket kantkornet snø (2), Nedføyket svakt lag med nysnø (2), Ubunden snø (2);Tørre flakskred (4), Våte løssnøskred  (2);Det finnes svake lag i snødekket som kan påvirkes av en skiløper, spesielt der snødekket er tynt. Fokksnø i høyden kan også gi skred.;There is a persistent weak layer buried in the snow cover that may be triggered by a skier. Remote triggering possible on hotspots or on convex terrain where the snow cover is thin. Wind slabs in the alpine may also form avalanches.
1;Fg2 (1);Fokksnø (1), Vedvarende svakt lag (1), Våte løssnøskred  (1);Stor tilleggsbelastning (2), Naturlig utløst (1);Nedføyket svakt lag med nysnø (1), Nedsnødd eller nedføyket kantkornet snø (1), Ubunden snø (1);Tørre flakskred (2), Våte løssnøskred  (1);Det finnes svake lag i snødekket som kan påvirkes av en skiløper. Fersk fokksnø i høyden kan også føre til skred.;There is a persistent weak layer buried in the snow cover that may be triggered by a skier. Remote triggering possible on hotspots or on convex terrain where the snow cover is thin. Wind slabs in the alpine may also form avalanches.
1;Fg2 (1);Fokksnø (1), Vedvarende svakt lag (1), Våte løssnøskred  (1);Liten tilleggsbelastning (1), Stor tilleggsbelastning (1), Naturlig utløst (1);Nedføyket svakt lag med nysnø (1), Nedsnødd eller nedføyket kantkornet snø (1), Ubunden snø (1);Tørre flakskred (2), Våte løssnøskred  (1);Det finnes svake lag i snødekket som kan påvirkes av en skiløper. Fersk fokksnø i høyden kan også gi skred.;There is a persistent weak layer buried in the snow cover that may be triggered by a skier. Remote triggering possible on hotspots or on convex terrain where the snow cover is thin. Wind slabs in the alpine may also form avalanches.
1;Fg2 (1);Vedvarende svakt lag (1);Stor tilleggsbelastning (1);Kantkornet snø under skarelag (1);Tørre flakskred (1);Det finnes svake lag i snødekket som kan påvirkes der snødekket er tynt.;There is a persistent weak layer buried in the snow cover that may be triggered by high additional load.
1;Fg2 (1);Vedvarende svakt lag (1);Stor tilleggsbelastning (1);Nedsnødd eller nedføyket kantkornet snø (1);Tørre flakskred (1);Det finnes svake lag i snødekket som kan trigges av en skiløper eller skuter der snødekket er tynt.;There is a persistent weak layer buried in the snow cover that may be triggered by a skier or snowmobile.
1;Fg2 (1);Vedvarende svakt lag (1), Fokksnø (1), Våte løssnøskred  (1);Liten tilleggsbelastning (2), Stor tilleggsbelastning (1);Kantkornet snø under skarelag (1), Nedføyket svakt lag med nysnø (1), Ubunden snø (1);Tørre flakskred (2), Våte løssnøskred  (1);Det finnes svake lag i snødekket som kan trigges av en skiløper eller skuter der snødekket er tynt. Det er også fare for naturlig utløste våte løssnøskred.;There is a persistent weak layer buried in the snow pack that may be triggered by a skier or snowmobile. Remote triggering possible on hotspots or on convex terrain where the snow cover is thin. Older windslabs can also be triggered. Wet avalanches can release due to sun and higher temperatures.
22;Fg2 (21), Fg3 (1);Vedvarende svakt lag (22), Fokksnø (5);Liten tilleggsbelastning (26), Naturlig utløst (1);Kantkornet snø under skarelag (15), Nedsnødd eller nedføyket overflaterim (7), Nedføyket svakt lag med nysnø (5);Tørre flakskred (27);Det finnes svake lag i snødekket som kan trigges av en skiløper eller skuter der snødekket er tynt. Fjernutløsning av skred er mulig.;There is a persistent weak layer buried in the snow cover that may be triggered by a skier or snowmobile. Remote triggering possible on hotspots or on convex terrain where the snow cover is thin.
