Antall	Faregrad	Hovedskredproblem	Skredproblem	Skredtype	Hovedbudskap norsk	Hovedbudskap engelsk
3	Fg3 (3)	Vedvarende svakt lag (3), Fokksnø (3)	I fokksnøen (3), Kantkornet over skaren (2), Kantkornet under skaren (1)	Tørre flakskred (6)	Det finnes vedvarende svake lag i snødekket som kan trigges av en skiløper eller skuterkjører.	There is a persistent weak layer buried in the snow cover, this that can be triggered by a skier or snowmobile.
1	Fg2 (1)	Vedvarende svakt lag (2)	Kantkornet under skaren (1), Lag med overflaterim (1)	Tørre flakskred (2)	Det finnes vedvarende svake lag i snødekket. Vær spesielt forsiktig rundt skoggrensen og i områder med fersk fokksnø.	There is a persistent weak layer buried in the snow pack, especially at tree line. Be careful in areas with wind deposited snow.
3	Fg3 (3)	Fokksnø (3)	I fokksnøen (3)	Tørre flakskred (3)	Det finst fersk fokksnø i leformasjonar i terrenget. Skred er lettast å løyse ut der fokksnølaget er tynt eller mjukt. Minkande skredfare i løpet av onsdagen.	Be careful in lee areas with wind deposited snow, typically behind ridges, ribs and in gullies. Especially where the wind deposited slabs are thin or soft, a slab avalanche is easier to trigger here. Decreasing avalanche hazard during the day.
1	Fg3 (1)	Fokksnø (1)	Lag med løs nysnø (1)	Tørre flakskred (1)	Det finst fersk fokksnø i leområde. Lettast å løyse ut skred der fokksnølaget er tynt eller mjukt.	Be careful in lee areas with wind deposited snow, typically behind ridges, ribs and in gullies. Especially where the wind deposited slabs are thin or soft, a slab avalanche is easier to trigger here.
3	Fg3 (3)	Fokksnø (3), Våt snø (3)	Lag med løs nysnø (3), Gjennomfuktet fra bakken (3)	Tørre flakskred (3), Våte flakskred (3)	Det finst fersk fokksnø i leområde. Lettast å løyse ut skred der fokksnølaget er tynt eller mjukt. Vått snødekke med sigesprekkar kan vere ustabil.	Be careful in lee areas with wind deposited snow, typically behind ridges, ribs and in gullies. Especially where the wind deposited slabs are thin or soft, a slab avalanche is easier to trigger here. Glide cracks may be a sign of unstable wet snow.
3	Fg3 (3)	Fokksnø (3)	I fokksnøen (3)	Tørre flakskred (3)	Det finst fersk fokksnø i leområde. Skred er lettast å løyse ut der fokksnølaget er tynt eller mjukt. Minkande skredfare i løpet av onsdagen.	Be careful in lee areas with wind deposited snow, typically behind ridges, ribs and in gullies. Especially where the wind deposited slabs are thin or soft, a slab avalanche is easier to trigger here. Glide cracks may be a sign of unstable wet snow. Decreasing avalanche hazard during the day.
3	Fg2 (3)	Fokksnø (3), Våt snø (3)	Regn/temperaturstigning (3), I fokksnøen (2), Lag med løs nysnø (1)	Tørre flakskred (3), Våte løssnøskred (3)	Det forventes fersk ustabil fokksnø i høyden. Våte naturlig utløste skred forventes i lavlandet. Vær forsiktig i områder under skavler.	Be careful on leeward slopes with fresh wind slabs in the alpine. Wet avalanches can occur where the snow is wet. Be careful in areas beneath cornices.
17	Fg2 (17)	Fokksnø (17), Vedvarende svakt lag (13), Våt snø (3)	I fokksnøen (13), Lag med kantkornet snø (13), Lag med løs nysnø (4), Regn/temperaturstigning (3)	Tørre flakskred (30), Våte løssnøskred (3)	Det kan finnes områder med svake lag under den vindtransporterte snøen. Vær forsiktig i leområder, særlig i eller nært terrengfeller.	Be aware that there can be pockets with persistent weak layer beneath wind deposited snow. Be careful in areas these areas, especially in and close to terrain traps.
2	Fg2 (2)	Vedvarende svakt lag (2), Fokksnø (2)	I fokksnøen (2), Kantkornet under skaren (2)	Tørre flakskred (4)	Det kan finnes områder med svake lag under den vindtransporterte snøen. Vær forsiktig i leområder.	Be aware that there can be pockets with persistent weak layer beneath wind deposited snow. Be careful in areas these areas.
39	Fg2 (39)	Vedvarende svakt lag (39), Fokksnø (18)	Lag med kantkornet snø (39), I fokksnøen (18)	Tørre flakskred (57)	Det kan finnes områder med vedvarende svake lag under den vindtransporterte snøen. Vær forsiktig i leområder, særlig i eller nært terrengfeller.	Be aware that there can be pockets with persistent weak layer beneath wind deposited snow. Be careful in areas these areas, especially in and close to terrain traps.
1	Fg2 (1)	Fokksnø (1), Våt snø (1)	I fokksnøen (1), Regn/temperaturstigning (1)	Tørre flakskred (1), Våte løssnøskred (1)	Det kan være tynne flak av fersk fokksnø i høgda. Våte naturlig utløste skred kan forventast i låglandet. Vær forsiktig i områder under skavler.	Be careful on leeward slopes with fresh wind slabs in the alpine. Wet avalanches can occur where the snow is wet. Be careful in areas beneath cornices.
1	Fg3 (1)	Vedvarende svakt lag (1), Våt snø (1)	Regn/temperaturstigning (1), Lag med overflaterim (1)	Tørre flakskred (1), Våte løssnøskred (1)	Et nedsnødd svakt lag kan føre til middels store skred. Fjernutløsning er mulig.	A persistent weak layer buried in the snow can cause medium large avalanches. Remote triggering is possible.
1	Fg3 (1)	Vedvarende svakt lag (1), Våt snø (1)	Regn/temperaturstigning (1), Lag med overflaterim (1)	Tørre flakskred (1), Våte flakskred (1)	Et nedsnødd svakt lag kan føre til middels store skred. Fjernutløsning er mulig. I lavlandet kan det gå våte skred i bratt terreng.	A persistent weak layer buried in the snow can cause medium large avalanches. Remote triggering is possible. Wet avalanches can release in steep terrain in lower areas.
2	Fg3 (2)	Vedvarende svakt lag (3), Fokksnø (1)	Lag med løs nysnø (1), Lag med overflaterim (1), Kantkornet over skaren (1), Kantkornet under skaren (1)	Tørre flakskred (3), Våte flakskred (1)	Et nedsnødd svakt lag kan føre til store skred. Fjernutløsning er mulig.	A persistent weak layer buried in the snow can cause large avalanches. Remote triggering is possible.
1	Fg3 (1)	Vedvarende svakt lag (1)	Lag med overflaterim (1)	Tørre flakskred (1)	Et nedsnødd svakt lag kan føre til store skred. Fjernutløsning er mulig. Enkelte vegstrekninger kan være utsatt.	A persistent weak layer buried in the snow can cause large avalanches. Remote triggering is possible. Some roads might be vulnerable.
1	Fg2 (1)	Fokksnø (1), Våt snø (1)	Regn/temperaturstigning (1), I fokksnøen (1)	Tørre flakskred (1), Våte løssnøskred (1)	Fare for små naturlige skred; våte skred opp til 1100 moh, flakskred i høyden. Hold avstand til skredterreng hvis dårlig sikt.	Naturally released avalanches is possible. Wet avalanches up to 1100 masl and wind slabs in the alpine. Keep distance to avalanche terrain if poor visibility.
6	Fg2 (6)	Våt snø (6), Fokksnø (4)	Regn/temperaturstigning (6), I fokksnøen (4)	Våte løssnøskred (6), Tørre flakskred (4)	Fare for våte snøskred i høyden. Vær spesielt varsom i bratte solutsatte fjellsider.	Danger of wet avalanches at higher elevations in the afternoon. Be especially aware in sun-exposed aspects for natural triggered avalanches.
1	Fg2 (1)	Fokksnø (1), Våt snø (1)	I fokksnøen (1), Regn/temperaturstigning (1)	Tørre flakskred (1), Våte løssnøskred (1)	Fare for våte snøskred. Vær spesielt varsom i bratte solutsatte fjellsider.	Danger of wet avalanches at higher elevations. Be especially aware in sun-exposed aspects for natural triggered avalanches.
2	Fg3 (2)	Fokksnø (2)	Lag med løs nysnø (2)	Tørre flakskred (2)	Faregraden stiger til 3-betydelig utover ettermiddagen når snøværet treffer regionen.	Avalanche level rising to 3 - considerable, when the snowshowers hits the region. Be careful in lee areas with wind deposited snow, typically behind ridges, ribs and in gullies.
1	Fg3 (1)	Fokksnø (1)	Lag med løs nysnø (1)	Tørre flakskred (1)	Faregraden vil øke mot faregrad 3-betydelig i takt med økende nedbør og vind. De områdene som får mest nedbør vil være mest utsatte. Unngå leområder.	The danger level will increase to level  3-considerable for Thursday night due to percipitation in combination with strong winds. Avoid leeward slopes.
1	Fg3 (1)	Vedvarende svakt lag (2)	Lag med kantkornet snø (1), Glatt skare (1)	Tørre flakskred (2)	Faregraden vil øke mot faregrad 3-betydelig i takt med økende nedbør og vind. Unngå leområder.	The danger level will increase to level  3-considerable for Thursday due to percipitation in combination with strong winds. Avoid leeward slopes.
1	Fg2 (1)	Vedvarende svakt lag (1), Fokksnø (1), Våt snø (1)	Lag med løs nysnø (1), Regn/temperaturstigning (1), Lag med overflaterim (1)	Tørre flakskred (2), Våte løssnøskred (1)	Faren for løssnøskred i lavlandet og ustabil nysnø/fokksnø i leområder i høyden øker litt når nedbøren starter utpå dagen.	Wet snow avalanches is the biggest problem, the danger increases a bit when the rain sets in in the afternoon. Above the snow line the danger will increase in lee areas.
2	Fg3 (2)	Fokksnø (2), Våt snø (2)	Regn/temperaturstigning (2), I fokksnøen (2)	Tørre flakskred (2), Våte flakskred (2)	Faren øker når regnet kommer. Unngå potensielle løsneområder og utløpsområder for skred. Høyere til fjells finnes ustabile flak av fersk fokksnø.	The avalanche danger increases when the rain sets in. Avoid potential release areas and runout areas for avalanches. At higher altitudes avoid areas with wind-deposited snow, typically behind ridges, ribs and in gullies.
3	Fg3 (3)	Vedvarende svakt lag (5), Fokksnø (1)	Kantkornet under skaren (4), Lag med løs nysnø (1), Lag med overflaterim (1)	Tørre flakskred (3), Våte flakskred (3)	Faren øker når temperaturen stiger. Unngå potensielle løsneområder og utløpsområder for skred.	The avalanche danger increases when the temperature rises. Avoid potential release areas and runout areas for avalanches.
1	Fg2 (1)	Våt snø (1)	Regn/temperaturstigning (1)	Våte løssnøskred (1)	Faren øker når temperaturen stiger. Vær forsiktig i soleksponert brattheng.	The avalanche danger increases when temperature rise. Be careful in sun exposed steep slopes.
1	Fg2 (1)	Vedvarende svakt lag (1), Våt snø (1)	Regn/temperaturstigning (1), Lag med kantkornet snø (1)	Tørre flakskred (1), Våte løssnøskred (1)	Faren øker når temperaturen stiger. Vær forsiktig i soleksponert brattheng. Det finnes også svake lag under fokksnøen.	The avalanche danger increases when temperature rise. Be careful in sun exposed steep slopes. Persistent weak layers in snowpack.
1	Fg2 (1)	Våt snø (1)	Regn/temperaturstigning (1)	Våte løssnøskred (1)	Faren øker når temperaturen stiger. Vær forsiktig i solutsatt brattheng.	Be careful in sun exposed steep slopes.
3	Fg3 (3)	Våt snø (3), Vedvarende svakt lag (2), Fokksnø (1)	Regn/temperaturstigning (3), Glatt skare (2), I fokksnøen (1)	Tørre flakskred (3), Våte løssnøskred (3)	Faren øker pga regnet. Unngå potensielle løsneområder og utløpsområder for skred.	The rain will increase the avalanche danger. Avoid avalanche release and run out areas.
1	Fg3 (1)	Fokksnø (1), Våt snø (1)	Lag med løs nysnø (1), Regn/temperaturstigning (1)	Tørre flakskred (1), Våte løssnøskred (1)	Faren øker pga regnet. Unngå potensielle løsneområder og utløpsområder for skred. Enkelte vegstrekninger kan være utsatt.	The rain will increase the avalanche danger. Avoid avalanche release and run out areas. Some roads might be vulnerable.
3	Fg2 (3)	Fokksnø (3), Våt snø (3)	Lag med løs nysnø (3), Regn/temperaturstigning (3)	Tørre flakskred (3), Våte løssnøskred (3)	Faren øker utover dagen. I lavlandet og i solvendte fjellsider ventes våte skred. I høyden er fokksnø problemet. Unngå områder under glidesprekker.	The danger rises when the temperature rises. Wet avalanches can release in steep terrain in lower areas and in sun exposed slopes where the sun comes out. Wind slabs are a problem at high elevations. Avoid areas with visible gliding cracks, release areas and run out areas for wet snow avalanches.
3	Fg2 (3)	Fokksnø (3), Våt snø (3)	Lag med løs nysnø (3), Regn/temperaturstigning (3)	Tørre flakskred (3), Våte løssnøskred (3)	Faren øker utover dagen. I lavlandet og i solvendte fjellsider ventes våte skred. I leområder i høyden er fokksnø problemet. Unngå områder under glidesprekker.	The danger rises when the temperature rises. Wet avalanches can release in steep terrain in lower areas and in sun exposed slopes where the sun comes out. Wind slabs are a problem at high elevations. Avoid areas with visible gliding cracks, release areas and run out areas for wet snow avalanches.
1	Fg3 (1)	Våt snø (1)	Regn/temperaturstigning (1)	Våte løssnøskred (1)	Faren opprettholdes så lenge det regner. Unngå potensielle løsneområder og utløpsområder for skred.	The avalanche danger stays at the same level as long as the rain continues. Avoid avalanche release and run out areas.
1	Fg3 (1)	Fokksnø (1)	Lag med løs nysnø (1)	Tørre flakskred (1)	Fersk fokksnø i høyden er skredproblemet, unngå leområder hvor vinden legger fra seg mye snø.	Be careful in lee areas above tree line with wind deposited snow, typically behind ridges, ribs and in gullies.
3	Fg3 (3)	Fokksnø (3)	Lag med løs nysnø (3)	Tørre flakskred (3)	Fersk fokksnø i høyden er skredproblemet, unngå leområder.	Wind slabs are a problem at high elevations.
7	Fg2 (7)	Fokksnø (7), Våt snø (7)	Regn/temperaturstigning (7), Lag med løs nysnø (4), I fokksnøen (3)	Tørre flakskred (7), Våte løssnøskred (7)	Fersk fokksnø kan lokalt gi ustabile forhold i bratt terreng, særlig i vest. Vær varsom i bratte solutsatte fjellsider.	Be careful in steep terrain where there is fresh deposited snow. Be aware in sun-exposed aspects for natural triggered avalanches.
1	Fg2 (1)	Fokksnø (1), Våt snø (1)	Lag med løs nysnø (1), Regn/temperaturstigning (1)	Tørre flakskred (1), Våte løssnøskred (1)	Fersk fokksnø kan lokalt gi ustabile forhold i bratt terreng. Vær varsom i bratte solutsatte fjellsider.	Be careful in steep terrain where there is fresh deposited snow. Be aware in sun-exposed aspects for natural triggered avalanches.
1	Fg2 (1)	Fokksnø (1)	I fokksnøen (1)	Tørre flakskred (1)	Ferske fokksnøansamlinger søndag. Vær forsiktig i leområder hvor det samler seg fokksnø, typisk bak rygger, i søkk og renneformasjoner.	Heightened avalanche danger on specific terrain. Be careful in lee areas with wind deposited snow, typically behind ridges, ribs and in gullies. Especially where the wind deposited slabs are thin or soft, a slab avalanche is easier to trigger here.
4	Fg3 (4)	Vedvarende svakt lag (4), Våt snø (4), Fokksnø (1)	Regn/temperaturstigning (4), Lag med overflaterim (4), I fokksnøen (1)	Tørre flakskred (5), Våte flakskred (4)	Flere nedsnødde svake lag kan føre til middels store skred. Fjernutløsning er mulig. I lavlandet kan det gå våte skred i bratt terreng.	Persistent weak layers buried in the snow can cause medium large avalanches. Remote triggering is possible. Wet avalanches can release in steep terrain in lower areas.
2	Fg3 (2)	Fokksnø (2), Våt snø (2)	I fokksnøen (2), Regn/temperaturstigning (2)	Tørre flakskred (2), Våte flakskred (2)	Fokksnø er problemet i høyden, under snøgrensa kan temperaturstigning og regn føre til naturlig utløste skred.	Wind deposited snow is the problem above the new snow line, lower down some naturally released avalanches can occur due to rain and temperature rise.
2	Fg2 (2)	Fokksnø (2), Våt snø (2)	I fokksnøen (2), Regn/temperaturstigning (2)	Tørre flakskred (2), Våte flakskred (2)	Fokksnø er problemet i høyden, under snøgrensa kan temperaturstigning og regn føre til små naturlig utløste skred.	Wind deposited snow is the problem above the new snow line, lower down some small naturally released avalanches can occur.
2	Fg3 (2)	Fokksnø (2)	Lag med løs nysnø (2)	Tørre flakskred (2)	Fokksnø er problemet, unngå leområder. Det er mulig for skikjører å løse ut snøskred.	Avoid leeward slopes. Skier triggered avalanches are possible.
2	Fg3 (2)	Fokksnø (2)	Lag med løs nysnø (2)	Tørre flakskred (2)	Fokksnø er problemet, unngå leområder. Mulig for skikjører å løse ut snøskred.	Avoid leeward slopes. Skier triggered avalanches are possible.
2	Fg3 (2)	Vedvarende svakt lag (2), Fokksnø (2)	Lag med overflaterim (2), Lag med løs nysnø (1), I fokksnøen (1)	Tørre flakskred (4)	Fokksnø er problemet, unngå leområder. Mulig for skiløper å løse ut snøskred.	Avoid leeward slopes.
7	Fg2 (7)	Vedvarende svakt lag (7), Fokksnø (7)	I fokksnøen (7), Kantkornet under skaren (4), Kantkornet over skaren (3)	Tørre flakskred (14)	Fokksnø i høyden kan gi skred og det finnes svake lag av kantkornet snø som kan trigges av en skiløper eller skuter der snødekket er tynt.	Stormslabs may form avalanches and there is a persistent weak layer buried in the snow cover that may be triggered by a skier or snowmobile. Remote triggering on this weak layer is possible on hotspots or on convex terrain where the snow cover is thin.
1	Fg2 (1)	Vedvarende svakt lag (1), Fokksnø (1)	I fokksnøen (1), Kantkornet under skaren (1)	Tørre flakskred (2)	Fokksnø i høyden kan gi skred og det finnes svake lag av kantkornet snø som kan trigges av gruppe på tur eller skuter der snødekket er tynt.	Stormslabs may form avalanches and there is a persistent weak layer buried in the snow cover that may be triggered by a group or snowmobile. Remote triggering on this weak layer is possible on hotspots or on convex terrain where the snow cover is thin.
3	Fg2 (3)	Vedvarende svakt lag (3), Fokksnø (3)	I fokksnøen (3), Kantkornet over skaren (3)	Tørre flakskred (6)	Fokksnø i høyden kan gi skred, og det finnes svake lag av kantkornet snø som kan trigges av en skiløper eller skuter der snødekket er tynt.	Stormslabs may form avalanches and there is a persistent weak layer buried in the snow cover that may be triggered by a skier or snowmobile. Remote triggering on this weak layer is possible on hotspots or on convex terrain where the snow cover is thin.
1	Fg3 (1)	Fokksnø (1), Våt snø (1)	Lag med løs nysnø (1), Regn/temperaturstigning (1)	Tørre flakskred (1), Våte flakskred (1)	Fokksnø samles i leområder. Den ferske fokksnøen kan ligge på et lag med rimkrystaller, eller glatt skare.	Avoid areas with fresh storm slabs. Crust or a weak layer of buried surface hoar may be present under the storm slabs. Also, a persistent weak layer of facets may be triggered, especially where the snow cover is thin. At lower elevations the snow pack is wet.
1	Fg3 (1)	Vedvarende svakt lag (2)	Glatt skare (1), Lag med overflaterim (1)	Tørre flakskred (2)	Fokksnø samles i leområder. Den ferske fokksnøen kan ligge på glatt skare eller et lag med rimkrystaller.	Avoid areas with fresh storm slabs. Crust or a weak layer of buried surface hoar may be present under the storm slabs. Also, a persistent weak layer of facets may be triggered, especially where the snow cover is thin. At lower elevations the snow pack is wet.
1	Fg3 (1)	Vedvarende svakt lag (1), Våt snø (1)	Regn/temperaturstigning (1), Lag med overflaterim (1)	Tørre flakskred (1), Våte flakskred (1)	Fokksnø samles i leområder. Ustabile fokksnøflak kan ligge over rimlag.	Avoid areas with fresh storm slabs. A weak layer of buried surface hoar may be present under the storm slabs. A weak layer of facets is still present in the snowpack, but is capped by a strong crust layer. At lower elevations the snow pack is wet.
3	Fg1 (3)	Fokksnø (3)	I fokksnøen (3)	Tørre flakskred (3)	Foreløpig generelt stabile forhold. Svake lag i snødekket kan våkne til live ved høye dagtemperaturer og øke faren betydelig. Når dette skjer er veldig usikkert.	Generally safe avalanche conditions. Isolateted terrain feature may hold unstable wind slabs. A weak layer is still luming deep in the snow pack, but is not reactive. Use extreme caution on the hard and icy snow surface.
1	Fg3 (1)	Fokksnø (1), Våt snø (1)	Lag med løs nysnø (1), Regn/temperaturstigning (1)	Tørre flakskred (1), Våte flakskred (1)	Fortsatt mulig med naturlige utløste skred, men avtagende skredfare.	Natural avalanches are still possible, but the avalanche danger is decreasing.
1	Fg3 (1)	Fokksnø (1), Våt snø (1)	Regn/temperaturstigning (1), I fokksnøen (1)	Tørre flakskred (1), Våte flakskred (1)	Fortsatt ustabile forhold. Enkelte naturlig utløste skred kan forekomme. Unngå skredterreng.	Unstable conditions persist. Natural avalanches are still possible at all elevations. Avoid avalanche terrain.
1	Fg2 (1)	Fokksnø (1), Våt snø (1)	Lag med løs nysnø (1), Regn/temperaturstigning (1)	Tørre flakskred (1), Våte løssnøskred (1)	Generellt stabile forhold men vær likevel varsom i solutsatte brattheng og der det er fokksnøansamlinger i skyggeområder.	Generally stable conditions but be careful in sun exposed steep slopes and in areas with wind slabs in the shade.
2	Fg2 (2)	Fokksnø (2), Våt snø (2)	Lag med løs nysnø (2), Regn/temperaturstigning (2)	Tørre flakskred (2), Våte løssnøskred (2)	Generellt stabile forhold men vær varsom i solutsatte brattheng og der det er fokksnøansamlinger i skyggeområder.	Generally stable conditions but be careful in sun exposed steep slopes and in areas with wind slabs in the shade.
1	Fg2 (1)	Vedvarende svakt lag (1), Fokksnø (1), Våt snø (1)	I fokksnøen (1), Regn/temperaturstigning (1), Lag med overflaterim (1)	Tørre flakskred (2), Våte løssnøskred (1)	Generelt avtar skredfaren, men treffer man på områder med nedføyket rim er det mulig å løse ut store skred. Unngå derfor nordsider for å være sikker.	Generally will the avalanche danger decrease, but be aware of wind slabs and isolated areas with surface hoar in north aspects in high elevation.
6	Fg2 (6)	Fokksnø (6), Våt snø (6)	I fokksnøen (6), Regn/temperaturstigning (6)	Tørre flakskred (6), Våte løssnøskred (6)	Generelt ganske stabile forhold nå, men vær oppmerksom i solutsatte brattheng og der det er fokksnø i skyggeområder høyt til fjells.	Generally stable conditions, but be careful in sun-exposed steep slopes and in high areas with wind slabs in the shade.
2	Fg2 (2)	Fokksnø (2)	Lag med løs nysnø (2)	Tørre flakskred (2)	Generelt ganske stabile forhold, men vær forsiktig i leområder med fersk fokksnø etter nytt snøfall i starten av uka.	Generally stable conditions, but you should still be careful in areas with fresh wind deposited snow after snowfall in the beginning of this week.
