avalanche_size;trigger;probability;distribution;x;y;label_size;label_trigger;label_probalility;label_distribution;colour;recomended_danger_level
4 - Store;Naturlig utloest;Sannsynlig, Meget sannsynlig;De fleste bratte heng, Ogsaa i mindre bratt terreng;2400;400;4;Nat;Likely;Most;white;0
5 - Svaert store;Stor tilleggsbelastning;Lite sannsynlig, Mulig;Isolerte faresoner;100;500;5;High;Possible;Isolated;white;0
5 - Svaert store;Liten tilleggsbelastning;Lite sannsynlig, Mulig;Isolerte faresoner;200;500;5;Low;Possible;Isolated;white;0
5 - Svaert store;Naturlig utloest;Lite sannsynlig, Mulig;Isolerte faresoner;300;500;5;Nat;Possible;Isolated;white;0
5 - Svaert store;Stor tilleggsbelastning;Sannsynlig, Meget sannsynlig;Isolerte faresoner;400;500;5;High;Likely;Isolated;gray;0
5 - Svaert store;Liten tilleggsbelastning;Sannsynlig, Meget sannsynlig;Isolerte faresoner;500;500;5;Low;Likely;Isolated;gray;0
5 - Svaert store;Naturlig utloest;Sannsynlig, Meget sannsynlig;Isolerte faresoner;600;500;5;Nat;Likely;Isolated;gray;0
5 - Svaert store;Stor tilleggsbelastning;Lite sannsynlig, Mulig;Noen bratte heng;700;500;5;High;Possible;Some;white;0
5 - Svaert store;Liten tilleggsbelastning;Lite sannsynlig, Mulig;Noen bratte heng;800;500;5;Low;Possible;Some;white;0
5 - Svaert store;Naturlig utloest;Lite sannsynlig, Mulig;Noen bratte heng;900;500;5;Nat;Possible;Some;white;0
5 - Svaert store;Stor tilleggsbelastning;Sannsynlig, Meget sannsynlig;Noen bratte heng;1000;500;5;High;Likely;Some;gray;0
5 - Svaert store;Liten tilleggsbelastning;Sannsynlig, Meget sannsynlig;Noen bratte heng;1100;500;5;Low;Likely;Some;gray;0
5 - Svaert store;Naturlig utloest;Sannsynlig, Meget sannsynlig;Noen bratte heng;1200;500;5;Nat;Likely;Some;white;0
5 - Svaert store;Stor tilleggsbelastning;Lite sannsynlig, Mulig;Mange bratte heng;1300;500;5;High;Possible;Many;gray;
5 - Svaert store;Liten tilleggsbelastning;Lite sannsynlig, Mulig;Mange bratte heng;1400;500;5;Low;Possible;Many;white;0
5 - Svaert store;Naturlig utloest;Lite sannsynlig, Mulig;Mange bratte heng;1500;500;5;Nat;Possible;Many;gray;0
5 - Svaert store;Stor tilleggsbelastning;Sannsynlig, Meget sannsynlig;Mange bratte heng;1600;500;5;High;Likely;Many;gray;0
5 - Svaert store;Liten tilleggsbelastning;Sannsynlig, Meget sannsynlig;Mange bratte heng;1700;500;5;Low;Likely;Many;white;0
5 - Svaert store;Naturlig utloest;Sannsynlig, Meget sannsynlig;Mange bratte heng;1800;500;5;Nat;Likely;Many;white;5
5 - Svaert store;Stor tilleggsbelastning;Lite sannsynlig, Mulig;De fleste bratte heng, Ogsaa i mindre bratt terreng;1900;500;5;High;Possible;Most;gray;0
5 - Svaert store;Liten tilleggsbelastning;Lite sannsynlig, Mulig;De fleste bratte heng, Ogsaa i mindre bratt terreng;2000;500;5;Low;Possible;Most;gray;0
5 - Svaert store;Naturlig utloest;Lite sannsynlig, Mulig;De fleste bratte heng, Ogsaa i mindre bratt terreng;2100;500;5;Nat;Possible;Most;gray;0
5 - Svaert store;Stor tilleggsbelastning;Sannsynlig, Meget sannsynlig;De fleste bratte heng, Ogsaa i mindre bratt terreng;2200;500;5;High;Likely;Most;gray;0
5 - Svaert store;Liten tilleggsbelastning;Sannsynlig, Meget sannsynlig;De fleste bratte heng, Ogsaa i mindre bratt terreng;2300;500;5;Low;Likely;Most;gray;0
5 - Svaert store;Naturlig utloest;Sannsynlig, Meget sannsynlig;De fleste bratte heng, Ogsaa i mindre bratt terreng;2400;500;5;Nat;Likely;Most;white;0
